gene	cell_type	percent_variance_unique	percent_variance_all_composition	raw_logFC	raw_FDR
ABR	endothelial	5.32919823607918	17.4017384520139	1.65769010268673	4.74397735098236e-139
ABR	fibroblast	7.29919560133002	17.4017384520139	1.65769010268673	4.74397735098236e-139
ABR	immune	2.23005860694984	17.4017384520139	1.65769010268673	4.74397735098236e-139
ABR	muscle	0.0929807633958732	17.4017384520139	1.65769010268673	4.74397735098236e-139
ABR	other_parenchymal	0.0303269741226055	17.4017384520139	1.65769010268673	4.74397735098236e-139
ABR	thyroid_epithelial	0.783837037094156	17.4017384520139	1.65769010268673	4.74397735098236e-139
AC010980.2	endothelial	2.31526430015946	4.05013578531568	-4.25524988995157	1.41580322761342e-136
AC010980.2	fibroblast	0.361578458801304	4.05013578531568	-4.25524988995157	1.41580322761342e-136
AC010980.2	immune	0.034990453184408	4.05013578531568	-4.25524988995157	1.41580322761342e-136
AC010980.2	muscle	0.168434186285004	4.05013578531568	-4.25524988995157	1.41580322761342e-136
AC010980.2	other_parenchymal	0.0121622990717351	4.05013578531568	-4.25524988995157	1.41580322761342e-136
AC010980.2	thyroid_epithelial	0.0119046752753926	4.05013578531568	-4.25524988995157	1.41580322761342e-136
ADAM22	endothelial	1.40955797960091	9.56455034984285	-2.29911656472299	2.37491395761166e-135
ADAM22	fibroblast	0.857610537459338	9.56455034984285	-2.29911656472299	2.37491395761166e-135
ADAM22	immune	0.463210518964628	9.56455034984285	-2.29911656472299	2.37491395761166e-135
ADAM22	muscle	0.269580800176485	9.56455034984285	-2.29911656472299	2.37491395761166e-135
ADAM22	other_parenchymal	2.3996195985362	9.56455034984285	-2.29911656472299	2.37491395761166e-135
ADAM22	thyroid_epithelial	0.245899737821805	9.56455034984285	-2.29911656472299	2.37491395761166e-135
AGPAT4	endothelial	7.2838062774809	21.5059248805243	-2.14350074112997	1.36822538390098e-145
AGPAT4	fibroblast	8.12431643639854	21.5059248805243	-2.14350074112997	1.36822538390098e-145
AGPAT4	immune	0.000415369150448489	21.5059248805243	-2.14350074112997	1.36822538390098e-145
AGPAT4	muscle	0.361851354460475	21.5059248805243	-2.14350074112997	1.36822538390098e-145
AGPAT4	other_parenchymal	0.0785634616491653	21.5059248805243	-2.14350074112997	1.36822538390098e-145
AGPAT4	thyroid_epithelial	0.438630722327685	21.5059248805243	-2.14350074112997	1.36822538390098e-145
ANK2	endothelial	2.31745206696764	16.3119255577917	-3.0378459180316	1.09072783020863e-140
ANK2	fibroblast	6.8229587032054	16.3119255577917	-3.0378459180316	1.09072783020863e-140
ANK2	immune	0.0624857160012381	16.3119255577917	-3.0378459180316	1.09072783020863e-140
ANK2	muscle	0.871123824520977	16.3119255577917	-3.0378459180316	1.09072783020863e-140
ANK2	other_parenchymal	0.961358448480568	16.3119255577917	-3.0378459180316	1.09072783020863e-140
ANK2	thyroid_epithelial	0.0341153651259896	16.3119255577917	-3.0378459180316	1.09072783020863e-140
ASXL3	endothelial	7.76899531354904	17.9893247642173	-4.33210222384195	1.35327079761239e-144
ASXL3	fibroblast	1.95962372240013	17.9893247642173	-4.33210222384195	1.35327079761239e-144
ASXL3	immune	0.285125603486397	17.9893247642173	-4.33210222384195	1.35327079761239e-144
ASXL3	muscle	0.0370635100136577	17.9893247642173	-4.33210222384195	1.35327079761239e-144
ASXL3	other_parenchymal	1.05134633744157	17.9893247642173	-4.33210222384195	1.35327079761239e-144
ASXL3	thyroid_epithelial	0.0894445338575314	17.9893247642173	-4.33210222384195	1.35327079761239e-144
ATP2C2	endothelial	2.29512421527653	7.38286532942471	-3.59508690486032	1.35136802387688e-180
ATP2C2	fibroblast	1.24539165996738	7.38286532942471	-3.59508690486032	1.35136802387688e-180
ATP2C2	immune	1.32432653870678	7.38286532942471	-3.59508690486032	1.35136802387688e-180
ATP2C2	muscle	0.00335928908613151	7.38286532942471	-3.59508690486032	1.35136802387688e-180
ATP2C2	other_parenchymal	0.873777800906153	7.38286532942471	-3.59508690486032	1.35136802387688e-180
ATP2C2	thyroid_epithelial	0.290501006279801	7.38286532942471	-3.59508690486032	1.35136802387688e-180
AVPR1A	endothelial	17.3526949959578	28.2120976272948	-3.14088028985494	8.65148535944286e-125
AVPR1A	fibroblast	0.00130656318461932	28.2120976272948	-3.14088028985494	8.65148535944286e-125
AVPR1A	immune	0.372836302689228	28.2120976272948	-3.14088028985494	8.65148535944286e-125
AVPR1A	muscle	0.536736729745563	28.2120976272948	-3.14088028985494	8.65148535944286e-125
AVPR1A	other_parenchymal	1.31903479183576	28.2120976272948	-3.14088028985494	8.65148535944286e-125
AVPR1A	thyroid_epithelial	0.00740859584378094	28.2120976272948	-3.14088028985494	8.65148535944286e-125
BMP1	endothelial	1.29560970127436	15.3282688185166	1.50526822392752	7.52251855909653e-128
BMP1	fibroblast	8.03732889199022	15.3282688185166	1.50526822392752	7.52251855909653e-128
BMP1	immune	1.68324947078668	15.3282688185166	1.50526822392752	7.52251855909653e-128
BMP1	muscle	1.53501172806694	15.3282688185166	1.50526822392752	7.52251855909653e-128
BMP1	other_parenchymal	0.162903264376052	15.3282688185166	1.50526822392752	7.52251855909653e-128
BMP1	thyroid_epithelial	1.78480095865558	15.3282688185166	1.50526822392752	7.52251855909653e-128
BMP8A	endothelial	10.501396657286	17.5699265867292	-3.82343858197512	1.42259417369785e-131
BMP8A	fibroblast	0.88117569948442	17.5699265867292	-3.82343858197512	1.42259417369785e-131
BMP8A	immune	0.437382776556955	17.5699265867292	-3.82343858197512	1.42259417369785e-131
BMP8A	muscle	0.427478068787792	17.5699265867292	-3.82343858197512	1.42259417369785e-131
BMP8A	other_parenchymal	1.18905078490747	17.5699265867292	-3.82343858197512	1.42259417369785e-131
BMP8A	thyroid_epithelial	0.354546431358022	17.5699265867292	-3.82343858197512	1.42259417369785e-131
C11orf74	endothelial	9.10996107842373	16.3583493622052	-2.12906606516335	1.74800841802478e-131
C11orf74	fibroblast	6.20783951366592	16.3583493622052	-2.12906606516335	1.74800841802478e-131
C11orf74	immune	0.618810724549491	16.3583493622052	-2.12906606516335	1.74800841802478e-131
C11orf74	muscle	0.566861895421316	16.3583493622052	-2.12906606516335	1.74800841802478e-131
C11orf74	other_parenchymal	0.0744288115240497	16.3583493622052	-2.12906606516335	1.74800841802478e-131
C11orf74	thyroid_epithelial	0.146016793985945	16.3583493622052	-2.12906606516335	1.74800841802478e-131
C8orf88	endothelial	0.472918382629906	5.42593897911763	-2.55362240885423	7.15240421763328e-169
C8orf88	fibroblast	0.114870760949037	5.42593897911763	-2.55362240885423	7.15240421763328e-169
C8orf88	immune	2.53833673676088	5.42593897911763	-2.55362240885423	7.15240421763328e-169
C8orf88	muscle	0.00684172716681882	5.42593897911763	-2.55362240885423	7.15240421763328e-169
C8orf88	other_parenchymal	0.270120234410732	5.42593897911763	-2.55362240885423	7.15240421763328e-169
C8orf88	thyroid_epithelial	0.981704299334344	5.42593897911763	-2.55362240885423	7.15240421763328e-169
CCDC146	endothelial	3.94341307129812	11.9573581248992	-2.11923882755013	3.48478810341407e-153
CCDC146	fibroblast	0.441783906746977	11.9573581248992	-2.11923882755013	3.48478810341407e-153
CCDC146	immune	1.59180014019301	11.9573581248992	-2.11923882755013	3.48478810341407e-153
CCDC146	muscle	0.00816455847643054	11.9573581248992	-2.11923882755013	3.48478810341407e-153
CCDC146	other_parenchymal	0.688874635635907	11.9573581248992	-2.11923882755013	3.48478810341407e-153
CCDC146	thyroid_epithelial	1.62183806967166	11.9573581248992	-2.11923882755013	3.48478810341407e-153
CDH16	endothelial	9.53665048014935	11.932886221755	-5.49901523837765	2.94277494939211e-153
CDH16	fibroblast	0.394460946212608	11.932886221755	-5.49901523837765	2.94277494939211e-153
CDH16	immune	0.197588968792393	11.932886221755	-5.49901523837765	2.94277494939211e-153
CDH16	muscle	0.315463272400381	11.932886221755	-5.49901523837765	2.94277494939211e-153
CDH16	other_parenchymal	0.0294131320544121	11.932886221755	-5.49901523837765	2.94277494939211e-153
CDH16	thyroid_epithelial	1.98400442083913	11.932886221755	-5.49901523837765	2.94277494939211e-153
CDHR3	endothelial	6.46682997374316	9.85175140554485	-2.35262964859533	3.19263428764492e-125
CDHR3	fibroblast	0.00960688864808045	9.85175140554485	-2.35262964859533	3.19263428764492e-125
CDHR3	immune	0.850286280696779	9.85175140554485	-2.35262964859533	3.19263428764492e-125
CDHR3	muscle	0.0239555652298636	9.85175140554485	-2.35262964859533	3.19263428764492e-125
CDHR3	other_parenchymal	0.0743824502689196	9.85175140554485	-2.35262964859533	3.19263428764492e-125
CDHR3	thyroid_epithelial	0.391603115306865	9.85175140554485	-2.35262964859533	3.19263428764492e-125
CLMN	endothelial	11.8449058015742	19.9349132795422	-2.14795377375959	4.69497568269109e-129
