cell_type	sample	estimate	method	status
CD8+ T-cells	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-BJ-A2N9-01	8.4773767531571e-18	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-BJ-A2N9-01	0.00261706679493718	xcell	formal_relative_enrichment
CLP	TCGA-BJ-A2N9-01	0.0470364055139649	xcell	formal_relative_enrichment
CMP	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
Chondrocytes	TCGA-BJ-A2N9-01	2.50604955524506e-18	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
DC	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
Endothelial cells	TCGA-BJ-A2N9-01	0.0472467132584996	xcell	formal_relative_enrichment
Eosinophils	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
Epithelial cells	TCGA-BJ-A2N9-01	0.0783429269441882	xcell	formal_relative_enrichment
Erythrocytes	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
Fibroblasts	TCGA-BJ-A2N9-01	0.00795838291327927	xcell	formal_relative_enrichment
GMP	TCGA-BJ-A2N9-01	1.08042280368378e-17	xcell	formal_relative_enrichment
HSC	TCGA-BJ-A2N9-01	0.281651150133598	xcell	formal_relative_enrichment
Hepatocytes	TCGA-BJ-A2N9-01	0.00449897444420976	xcell	formal_relative_enrichment
Keratinocytes	TCGA-BJ-A2N9-01	0.00946011527495604	xcell	formal_relative_enrichment
MEP	TCGA-BJ-A2N9-01	0.0853047012851193	xcell	formal_relative_enrichment
MPP	TCGA-BJ-A2N9-01	3.78373311563954e-17	xcell	formal_relative_enrichment
MSC	TCGA-BJ-A2N9-01	0.102851533068565	xcell	formal_relative_enrichment
Macrophages	TCGA-BJ-A2N9-01	0.026775961549168	xcell	formal_relative_enrichment
Macrophages M1	TCGA-BJ-A2N9-01	0.0385622434862384	xcell	formal_relative_enrichment
Macrophages M2	TCGA-BJ-A2N9-01	0.00918169561785864	xcell	formal_relative_enrichment
Mast cells	TCGA-BJ-A2N9-01	0.00542486792910299	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-BJ-A2N9-01	0.00521001622256249	xcell	formal_relative_enrichment
Melanocytes	TCGA-BJ-A2N9-01	0.00444994791890936	xcell	formal_relative_enrichment
Memory B-cells	TCGA-BJ-A2N9-01	1.75283719024307e-17	xcell	formal_relative_enrichment
Mesangial cells	TCGA-BJ-A2N9-01	3.08628364097277e-18	xcell	formal_relative_enrichment
Monocytes	TCGA-BJ-A2N9-01	4.59981781524467e-17	xcell	formal_relative_enrichment
Myocytes	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
NK cells	TCGA-BJ-A2N9-01	2.5604199028093e-17	xcell	formal_relative_enrichment
NKT	TCGA-BJ-A2N9-01	0.179299504655886	xcell	formal_relative_enrichment
Neurons	TCGA-BJ-A2N9-01	0.00511754186942769	xcell	formal_relative_enrichment
Neutrophils	TCGA-BJ-A2N9-01	1.23069092245801e-18	xcell	formal_relative_enrichment
Osteoblast	TCGA-BJ-A2N9-01	0.156610615619089	xcell	formal_relative_enrichment
Pericytes	TCGA-BJ-A2N9-01	0.0110777561963406	xcell	formal_relative_enrichment
Plasma cells	TCGA-BJ-A2N9-01	0.0259166962039571	xcell	formal_relative_enrichment
Platelets	TCGA-BJ-A2N9-01	4.66339623007735e-18	xcell	formal_relative_enrichment
Preadipocytes	TCGA-BJ-A2N9-01	9.04508359713472e-18	xcell	formal_relative_enrichment
Sebocytes	TCGA-BJ-A2N9-01	0.00385201969432387	xcell	formal_relative_enrichment
Skeletal muscle	TCGA-BJ-A2N9-01	7.91286468680433e-19	xcell	formal_relative_enrichment
Smooth muscle	TCGA-BJ-A2N9-01	0.263048367362468	xcell	formal_relative_enrichment
Tgd cells	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
Th1 cells	TCGA-BJ-A2N9-01	0.143222600662283	xcell	formal_relative_enrichment
Th2 cells	TCGA-BJ-A2N9-01	0.0138648097715931	xcell	formal_relative_enrichment
Tregs	TCGA-BJ-A2N9-01	1.45688569705528e-19	xcell	formal_relative_enrichment
aDC	TCGA-BJ-A2N9-01	0.26611942476361	xcell	formal_relative_enrichment
cDC	TCGA-BJ-A2N9-01	0.00390346090138022	xcell	formal_relative_enrichment
iDC	TCGA-BJ-A2N9-01	2.0588086128058e-17	xcell	formal_relative_enrichment
ly Endothelial cells	TCGA-BJ-A2N9-01	0.00675433771771595	xcell	formal_relative_enrichment
mv Endothelial cells	TCGA-BJ-A2N9-01	0.045711845904675	xcell	formal_relative_enrichment
naive B-cells	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
pDC	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
pro B-cells	TCGA-BJ-A2N9-01	0	xcell	formal_relative_enrichment
ImmuneScore	TCGA-BJ-A2N9-01	0.0214672196521807	xcell	formal_relative_enrichment
StromaScore	TCGA-BJ-A2N9-01	0.0276025480858894	xcell	formal_relative_enrichment
MicroenvironmentScore	TCGA-BJ-A2N9-01	0.0490697677380701	xcell	formal_relative_enrichment
Adipocytes	TCGA-ET-A25R-01	0.00351896965299545	xcell	formal_relative_enrichment
Astrocytes	TCGA-ET-A25R-01	0.094377861781664	xcell	formal_relative_enrichment
B-cells	TCGA-ET-A25R-01	0.0188692683054929	xcell	formal_relative_enrichment
Basophils	TCGA-ET-A25R-01	0.0872036700435871	xcell	formal_relative_enrichment
CD4+ T-cells	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
CD4+ Tcm	TCGA-ET-A25R-01	3.8950071436615e-19	xcell	formal_relative_enrichment
CD4+ Tem	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
CD4+ memory T-cells	TCGA-ET-A25R-01	1.41760929525051e-18	xcell	formal_relative_enrichment
CD4+ naive T-cells	TCGA-ET-A25R-01	2.27760553489298e-18	xcell	formal_relative_enrichment
CD8+ T-cells	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-ET-A25R-01	5.79790074523282e-18	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
CLP	TCGA-ET-A25R-01	0.0142489118070495	xcell	formal_relative_enrichment
CMP	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
Chondrocytes	TCGA-ET-A25R-01	0.022564968228439	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-ET-A25R-01	0.0365567456675913	xcell	formal_relative_enrichment
DC	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
Endothelial cells	TCGA-ET-A25R-01	0.0426470746714544	xcell	formal_relative_enrichment
Eosinophils	TCGA-ET-A25R-01	0.0106104478227517	xcell	formal_relative_enrichment
Epithelial cells	TCGA-ET-A25R-01	0.239339080326069	xcell	formal_relative_enrichment
Erythrocytes	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
Fibroblasts	TCGA-ET-A25R-01	0.0160796611993542	xcell	formal_relative_enrichment
GMP	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
HSC	TCGA-ET-A25R-01	0.0698878797137071	xcell	formal_relative_enrichment
Hepatocytes	TCGA-ET-A25R-01	0.00184692070010844	xcell	formal_relative_enrichment
Keratinocytes	TCGA-ET-A25R-01	0.0281225837940899	xcell	formal_relative_enrichment
MEP	TCGA-ET-A25R-01	0.00578260114835251	xcell	formal_relative_enrichment
MPP	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
MSC	TCGA-ET-A25R-01	0.0329974516464175	xcell	formal_relative_enrichment
Macrophages	TCGA-ET-A25R-01	0.00383773034183601	xcell	formal_relative_enrichment
Macrophages M1	TCGA-ET-A25R-01	0.00595817807329041	xcell	formal_relative_enrichment
Macrophages M2	TCGA-ET-A25R-01	0.000336100277988081	xcell	formal_relative_enrichment
Mast cells	TCGA-ET-A25R-01	0.0348459362740187	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-ET-A25R-01	0.00496687640091708	xcell	formal_relative_enrichment
Melanocytes	TCGA-ET-A25R-01	0.011754223479282	xcell	formal_relative_enrichment
Memory B-cells	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
Mesangial cells	TCGA-ET-A25R-01	0.0322028163577185	xcell	formal_relative_enrichment
Monocytes	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
Myocytes	TCGA-ET-A25R-01	2.67875056919932e-06	xcell	formal_relative_enrichment
NK cells	TCGA-ET-A25R-01	9.57853443719859e-19	xcell	formal_relative_enrichment
NKT	TCGA-ET-A25R-01	0.128968046933023	xcell	formal_relative_enrichment
Neurons	TCGA-ET-A25R-01	0.000241598713925107	xcell	formal_relative_enrichment
Neutrophils	TCGA-ET-A25R-01	4.09307532539488e-19	xcell	formal_relative_enrichment
Osteoblast	TCGA-ET-A25R-01	0.0341903385208295	xcell	formal_relative_enrichment
Pericytes	TCGA-ET-A25R-01	0.0162681283667961	xcell	formal_relative_enrichment
Plasma cells	TCGA-ET-A25R-01	3.96923989287746e-19	xcell	formal_relative_enrichment
Platelets	TCGA-ET-A25R-01	2.56303830763385e-18	xcell	formal_relative_enrichment
Preadipocytes	TCGA-ET-A25R-01	1.60030505628848e-17	xcell	formal_relative_enrichment
Sebocytes	TCGA-ET-A25R-01	0.020655280433167	xcell	formal_relative_enrichment
Skeletal muscle	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
Smooth muscle	TCGA-ET-A25R-01	0.153037137125699	xcell	formal_relative_enrichment
Tgd cells	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
Th1 cells	TCGA-ET-A25R-01	0.0325310967549263	xcell	formal_relative_enrichment
Th2 cells	TCGA-ET-A25R-01	0	xcell	formal_relative_enrichment
Tregs	TCGA-ET-A25R-01	0.00418448189688023	xcell	formal_relative_enrichment
aDC	TCGA-ET-A25R-01	0.0779049993044699	xcell	formal_relative_enrichment
cDC	TCGA-ET-A25R-01	0.00705122354259594	xcell	formal_relative_enrichment
iDC	TCGA-ET-A25R-01	0.0184997180614787	xcell	formal_relative_enrichment
ly Endothelial cells	TCGA-ET-A25R-01	0.0146713876486894	xcell	formal_relative_enrichment
mv Endothelial cells	TCGA-ET-A25R-01	0.0209784738581945	xcell	formal_relative_enrichment
naive B-cells	TCGA-ET-A25R-01	1.92462595025336e-18	xcell	formal_relative_enrichment
pDC	TCGA-ET-A25R-01	6.83935931666828e-19	xcell	formal_relative_enrichment
pro B-cells	TCGA-ET-A25R-01	1.08404119813007e-18	xcell	formal_relative_enrichment
ImmuneScore	TCGA-ET-A25R-01	0.0454422551627329	xcell	formal_relative_enrichment
StromaScore	TCGA-ET-A25R-01	0.031122852761902	xcell	formal_relative_enrichment
MicroenvironmentScore	TCGA-ET-A25R-01	0.0765651079246349	xcell	formal_relative_enrichment
Adipocytes	TCGA-DJ-A4V4-01	0.00353947449341973	xcell	formal_relative_enrichment
Astrocytes	TCGA-DJ-A4V4-01	0.0111530022786921	xcell	formal_relative_enrichment
B-cells	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
Basophils	TCGA-DJ-A4V4-01	0.061250828487383	xcell	formal_relative_enrichment
CD4+ T-cells	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
CD4+ Tcm	TCGA-DJ-A4V4-01	0.0310248785109949	xcell	formal_relative_enrichment
CD4+ Tem	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
CD4+ memory T-cells	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
CD4+ naive T-cells	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
CD8+ T-cells	TCGA-DJ-A4V4-01	3.8541477434053e-18	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-DJ-A4V4-01	3.38356431541216e-20	xcell	formal_relative_enrichment
CLP	TCGA-DJ-A4V4-01	0.0338692794384067	xcell	formal_relative_enrichment
CMP	TCGA-DJ-A4V4-01	1.41945843153115e-18	xcell	formal_relative_enrichment
Chondrocytes	TCGA-DJ-A4V4-01	0.0509620908486163	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-DJ-A4V4-01	1.43763317148574e-18	xcell	formal_relative_enrichment
DC	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
Endothelial cells	TCGA-DJ-A4V4-01	0.0991261378369121	xcell	formal_relative_enrichment
Eosinophils	TCGA-DJ-A4V4-01	0.00276641207530571	xcell	formal_relative_enrichment
Epithelial cells	TCGA-DJ-A4V4-01	0.191959573869894	xcell	formal_relative_enrichment
Erythrocytes	TCGA-DJ-A4V4-01	8.72010206914473e-19	xcell	formal_relative_enrichment
Fibroblasts	TCGA-DJ-A4V4-01	0.12187877249046	xcell	formal_relative_enrichment
GMP	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
HSC	TCGA-DJ-A4V4-01	0.296871384360478	xcell	formal_relative_enrichment
Hepatocytes	TCGA-DJ-A4V4-01	0.00295253513532109	xcell	formal_relative_enrichment
Keratinocytes	TCGA-DJ-A4V4-01	0.0289335160185526	xcell	formal_relative_enrichment
MEP	TCGA-DJ-A4V4-01	0.0185645448220509	xcell	formal_relative_enrichment
MPP	TCGA-DJ-A4V4-01	1.35166362878294e-17	xcell	formal_relative_enrichment
MSC	TCGA-DJ-A4V4-01	0.0394850099583606	xcell	formal_relative_enrichment
Macrophages	TCGA-DJ-A4V4-01	0.00238745124935075	xcell	formal_relative_enrichment
Macrophages M1	TCGA-DJ-A4V4-01	0.00268626012089299	xcell	formal_relative_enrichment
Macrophages M2	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
Mast cells	TCGA-DJ-A4V4-01	0.0226718689222661	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-DJ-A4V4-01	0.00615310045331246	xcell	formal_relative_enrichment
Melanocytes	TCGA-DJ-A4V4-01	0.00997053931252115	xcell	formal_relative_enrichment
Memory B-cells	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
Mesangial cells	TCGA-DJ-A4V4-01	0.0252365406851721	xcell	formal_relative_enrichment
Monocytes	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
Myocytes	TCGA-DJ-A4V4-01	0.00231782218436007	xcell	formal_relative_enrichment
NK cells	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
NKT	TCGA-DJ-A4V4-01	0.0694202014354823	xcell	formal_relative_enrichment
Neurons	TCGA-DJ-A4V4-01	0.00259180146635082	xcell	formal_relative_enrichment
Neutrophils	TCGA-DJ-A4V4-01	2.68591899349864e-19	xcell	formal_relative_enrichment
Osteoblast	TCGA-DJ-A4V4-01	0.0561261904078281	xcell	formal_relative_enrichment
Pericytes	TCGA-DJ-A4V4-01	0.00742513058102804	xcell	formal_relative_enrichment
Plasma cells	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
Platelets	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
Preadipocytes	TCGA-DJ-A4V4-01	1.95790592878004e-19	xcell	formal_relative_enrichment
Sebocytes	TCGA-DJ-A4V4-01	0.00871550490057348	xcell	formal_relative_enrichment
Skeletal muscle	TCGA-DJ-A4V4-01	0.000187984151622155	xcell	formal_relative_enrichment
Smooth muscle	TCGA-DJ-A4V4-01	0.257606299264271	xcell	formal_relative_enrichment
Tgd cells	TCGA-DJ-A4V4-01	3.44260604633587e-18	xcell	formal_relative_enrichment
Th1 cells	TCGA-DJ-A4V4-01	0.04547782806384	xcell	formal_relative_enrichment
Th2 cells	TCGA-DJ-A4V4-01	0.0131991805375375	xcell	formal_relative_enrichment
Tregs	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
aDC	TCGA-DJ-A4V4-01	0.0132923363078053	xcell	formal_relative_enrichment
cDC	TCGA-DJ-A4V4-01	0.0125562908054384	xcell	formal_relative_enrichment
iDC	TCGA-DJ-A4V4-01	0.0123548409886387	xcell	formal_relative_enrichment
ly Endothelial cells	TCGA-DJ-A4V4-01	0.0359843586237172	xcell	formal_relative_enrichment
mv Endothelial cells	TCGA-DJ-A4V4-01	0.056373629537991	xcell	formal_relative_enrichment
naive B-cells	TCGA-DJ-A4V4-01	2.16681488513009e-18	xcell	formal_relative_enrichment
pDC	TCGA-DJ-A4V4-01	0	xcell	formal_relative_enrichment
pro B-cells	TCGA-DJ-A4V4-01	3.97991777322059e-17	xcell	formal_relative_enrichment
ImmuneScore	TCGA-DJ-A4V4-01	0.018550488164615	xcell	formal_relative_enrichment
StromaScore	TCGA-DJ-A4V4-01	0.112272192410396	xcell	formal_relative_enrichment
MicroenvironmentScore	TCGA-DJ-A4V4-01	0.130822680575011	xcell	formal_relative_enrichment
Adipocytes	TCGA-EL-A3T9-01	0.0140813028627847	xcell	formal_relative_enrichment
Astrocytes	TCGA-EL-A3T9-01	0.232076373137517	xcell	formal_relative_enrichment
B-cells	TCGA-EL-A3T9-01	3.49206997263499e-19	xcell	formal_relative_enrichment
Basophils	TCGA-EL-A3T9-01	0.045704676319463	xcell	formal_relative_enrichment
CD4+ T-cells	TCGA-EL-A3T9-01	9.35681096333183e-18	xcell	formal_relative_enrichment
CD4+ Tcm	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
CD4+ Tem	TCGA-EL-A3T9-01	0.0202053350154416	xcell	formal_relative_enrichment
CD4+ memory T-cells	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
CD4+ naive T-cells	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
CD8+ T-cells	TCGA-EL-A3T9-01	1.17331009244339e-18	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-EL-A3T9-01	3.18300389805359e-19	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-EL-A3T9-01	1.79876909345543e-18	xcell	formal_relative_enrichment
CLP	TCGA-EL-A3T9-01	0.0183404788118544	xcell	formal_relative_enrichment
CMP	TCGA-EL-A3T9-01	1.51610921119451e-19	xcell	formal_relative_enrichment
Chondrocytes	TCGA-EL-A3T9-01	0.0508799018411255	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-EL-A3T9-01	0.0055619617910696	xcell	formal_relative_enrichment
DC	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
Endothelial cells	TCGA-EL-A3T9-01	0.0436131575788041	xcell	formal_relative_enrichment
Eosinophils	TCGA-EL-A3T9-01	0.0106602948615354	xcell	formal_relative_enrichment
Epithelial cells	TCGA-EL-A3T9-01	0.230676971394827	xcell	formal_relative_enrichment
Erythrocytes	TCGA-EL-A3T9-01	9.14481024330107e-20	xcell	formal_relative_enrichment
Fibroblasts	TCGA-EL-A3T9-01	0.0824039053016805	xcell	formal_relative_enrichment
GMP	TCGA-EL-A3T9-01	1.6515326424367e-18	xcell	formal_relative_enrichment
HSC	TCGA-EL-A3T9-01	0.269005057763404	xcell	formal_relative_enrichment
Hepatocytes	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
Keratinocytes	TCGA-EL-A3T9-01	0.0211879138957489	xcell	formal_relative_enrichment
MEP	TCGA-EL-A3T9-01	1.02443047401703e-19	xcell	formal_relative_enrichment
MPP	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
MSC	TCGA-EL-A3T9-01	0.357541284602789	xcell	formal_relative_enrichment
Macrophages	TCGA-EL-A3T9-01	4.44768315280199e-19	xcell	formal_relative_enrichment
Macrophages M1	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
Macrophages M2	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
Mast cells	TCGA-EL-A3T9-01	0.0187447054313888	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-EL-A3T9-01	0.00262237407912931	xcell	formal_relative_enrichment
Melanocytes	TCGA-EL-A3T9-01	0.00634737299216481	xcell	formal_relative_enrichment
Memory B-cells	TCGA-EL-A3T9-01	9.59694525943156e-18	xcell	formal_relative_enrichment
Mesangial cells	TCGA-EL-A3T9-01	0.0571333336605437	xcell	formal_relative_enrichment
Monocytes	TCGA-EL-A3T9-01	0.000197714631086525	xcell	formal_relative_enrichment
Myocytes	TCGA-EL-A3T9-01	0.00773936325507351	xcell	formal_relative_enrichment
NK cells	TCGA-EL-A3T9-01	9.61731496300465e-18	xcell	formal_relative_enrichment
NKT	TCGA-EL-A3T9-01	0.278288127512698	xcell	formal_relative_enrichment
Neurons	TCGA-EL-A3T9-01	0.00279308588973397	xcell	formal_relative_enrichment
Neutrophils	TCGA-EL-A3T9-01	0.00683084097568429	xcell	formal_relative_enrichment
Osteoblast	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
Pericytes	TCGA-EL-A3T9-01	0.127958373327744	xcell	formal_relative_enrichment
Plasma cells	TCGA-EL-A3T9-01	0.00160498985634977	xcell	formal_relative_enrichment
Platelets	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
Preadipocytes	TCGA-EL-A3T9-01	1.37916191233348e-17	xcell	formal_relative_enrichment
Sebocytes	TCGA-EL-A3T9-01	0.0220849923355893	xcell	formal_relative_enrichment
Skeletal muscle	TCGA-EL-A3T9-01	3.98648111300306e-19	xcell	formal_relative_enrichment
Smooth muscle	TCGA-EL-A3T9-01	0.0501595656955265	xcell	formal_relative_enrichment
Tgd cells	TCGA-EL-A3T9-01	2.29813993635195e-17	xcell	formal_relative_enrichment
Th1 cells	TCGA-EL-A3T9-01	0.0137222046750299	xcell	formal_relative_enrichment
Th2 cells	TCGA-EL-A3T9-01	0.00838914035590122	xcell	formal_relative_enrichment
Tregs	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
aDC	TCGA-EL-A3T9-01	0.0566034924540121	xcell	formal_relative_enrichment
cDC	TCGA-EL-A3T9-01	0.0216963400868931	xcell	formal_relative_enrichment
iDC	TCGA-EL-A3T9-01	1.2915126637993e-18	xcell	formal_relative_enrichment
ly Endothelial cells	TCGA-EL-A3T9-01	0.00465888817142984	xcell	formal_relative_enrichment
mv Endothelial cells	TCGA-EL-A3T9-01	0.0127843581886931	xcell	formal_relative_enrichment
naive B-cells	TCGA-EL-A3T9-01	4.92002472327204e-18	xcell	formal_relative_enrichment
pDC	TCGA-EL-A3T9-01	0	xcell	formal_relative_enrichment
pro B-cells	TCGA-EL-A3T9-01	2.66538460283986e-17	xcell	formal_relative_enrichment
ImmuneScore	TCGA-EL-A3T9-01	0.0242890372664633	xcell	formal_relative_enrichment
StromaScore	TCGA-EL-A3T9-01	0.0700491828716346	xcell	formal_relative_enrichment
MicroenvironmentScore	TCGA-EL-A3T9-01	0.094338220138098	xcell	formal_relative_enrichment
Adipocytes	TCGA-BJ-A0ZB-01	0.00421795312238639	xcell	formal_relative_enrichment
Astrocytes	TCGA-BJ-A0ZB-01	0.0534299255697651	xcell	formal_relative_enrichment
B-cells	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
Basophils	TCGA-BJ-A0ZB-01	0.0448397929579665	xcell	formal_relative_enrichment
CD4+ T-cells	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
CD4+ Tcm	TCGA-BJ-A0ZB-01	0.00296602967064682	xcell	formal_relative_enrichment
CD4+ Tem	TCGA-BJ-A0ZB-01	6.55445677842204e-18	xcell	formal_relative_enrichment
CD4+ memory T-cells	TCGA-BJ-A0ZB-01	2.95370223819591e-19	xcell	formal_relative_enrichment
CD4+ naive T-cells	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
CD8+ T-cells	TCGA-BJ-A0ZB-01	1.04336543796213e-17	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-BJ-A0ZB-01	2.98019319248299e-18	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
CLP	TCGA-BJ-A0ZB-01	0.024953313760176	xcell	formal_relative_enrichment
CMP	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
Chondrocytes	TCGA-BJ-A0ZB-01	0.0366883420019181	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-BJ-A0ZB-01	0.00758700001057548	xcell	formal_relative_enrichment
DC	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
Endothelial cells	TCGA-BJ-A0ZB-01	0.0694814737014452	xcell	formal_relative_enrichment
Eosinophils	TCGA-BJ-A0ZB-01	0.00433934795455422	xcell	formal_relative_enrichment
Epithelial cells	TCGA-BJ-A0ZB-01	0.201000641633893	xcell	formal_relative_enrichment
Erythrocytes	TCGA-BJ-A0ZB-01	6.85956121148866e-19	xcell	formal_relative_enrichment
Fibroblasts	TCGA-BJ-A0ZB-01	0.0087395456179851	xcell	formal_relative_enrichment
GMP	TCGA-BJ-A0ZB-01	1.88647567448459e-18	xcell	formal_relative_enrichment
HSC	TCGA-BJ-A0ZB-01	0.230170226528411	xcell	formal_relative_enrichment
Hepatocytes	TCGA-BJ-A0ZB-01	0.00205196715189444	xcell	formal_relative_enrichment
Keratinocytes	TCGA-BJ-A0ZB-01	0.0291785728301733	xcell	formal_relative_enrichment
MEP	TCGA-BJ-A0ZB-01	0.00314224120811043	xcell	formal_relative_enrichment
MPP	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
MSC	TCGA-BJ-A0ZB-01	0.00628235648701578	xcell	formal_relative_enrichment
Macrophages	TCGA-BJ-A0ZB-01	0.00366166768894742	xcell	formal_relative_enrichment
Macrophages M1	TCGA-BJ-A0ZB-01	0.0032635626498723	xcell	formal_relative_enrichment
Macrophages M2	TCGA-BJ-A0ZB-01	0.00290164478935505	xcell	formal_relative_enrichment
Mast cells	TCGA-BJ-A0ZB-01	0.0360699846588108	xcell	formal_relative_enrichment
Megakaryocytes	TCGA-BJ-A0ZB-01	0.00692886263466974	xcell	formal_relative_enrichment
Melanocytes	TCGA-BJ-A0ZB-01	0.00498238343299973	xcell	formal_relative_enrichment
Memory B-cells	TCGA-BJ-A0ZB-01	3.0816336290506e-18	xcell	formal_relative_enrichment
Mesangial cells	TCGA-BJ-A0ZB-01	0.0165745373680181	xcell	formal_relative_enrichment
Monocytes	TCGA-BJ-A0ZB-01	8.06750760149965e-18	xcell	formal_relative_enrichment
Myocytes	TCGA-BJ-A0ZB-01	0.0123256384304879	xcell	formal_relative_enrichment
NK cells	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
NKT	TCGA-BJ-A0ZB-01	0.0595894201651844	xcell	formal_relative_enrichment
Neurons	TCGA-BJ-A0ZB-01	6.30790465728784e-05	xcell	formal_relative_enrichment
Neutrophils	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
Osteoblast	TCGA-BJ-A0ZB-01	0.0573206576242726	xcell	formal_relative_enrichment
Pericytes	TCGA-BJ-A0ZB-01	0.00325888489714483	xcell	formal_relative_enrichment
Plasma cells	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
Platelets	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
Preadipocytes	TCGA-BJ-A0ZB-01	0	xcell	formal_relative_enrichment
