cell_type	sample	estimate	method	status
mv Endothelial cells	TCGA-DJ-A2PR-01	0.00937274949013031	xcell	formal_relative_enrichment
naive B-cells	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
pDC	TCGA-DJ-A2PR-01	0	xcell	formal_relative_enrichment
pro B-cells	TCGA-DJ-A2PR-01	4.73492476914171e-18	xcell	formal_relative_enrichment
ImmuneScore	TCGA-DJ-A2PR-01	0.035998149239849	xcell	formal_relative_enrichment
StromaScore	TCGA-DJ-A2PR-01	0.0131690717877692	xcell	formal_relative_enrichment
MicroenvironmentScore	TCGA-DJ-A2PR-01	0.0491672210276182	xcell	formal_relative_enrichment
Adipocytes	TCGA-EM-A3AQ-01	0.00286097626422694	xcell	formal_relative_enrichment
Astrocytes	TCGA-EM-A3AQ-01	0.0210933683581903	xcell	formal_relative_enrichment
B-cells	TCGA-EM-A3AQ-01	4.94713908600507e-18	xcell	formal_relative_enrichment
Basophils	TCGA-EM-A3AQ-01	1.45562074940694e-18	xcell	formal_relative_enrichment
CD4+ T-cells	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
CD4+ Tcm	TCGA-EM-A3AQ-01	0.0233222631980453	xcell	formal_relative_enrichment
CD4+ Tem	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
CD4+ memory T-cells	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
CD4+ naive T-cells	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
CD8+ T-cells	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
CD8+ Tcm	TCGA-EM-A3AQ-01	7.99711658764025e-18	xcell	formal_relative_enrichment
CD8+ Tem	TCGA-EM-A3AQ-01	3.51726916959947e-18	xcell	formal_relative_enrichment
CD8+ naive T-cells	TCGA-EM-A3AQ-01	0.000123704671906846	xcell	formal_relative_enrichment
CLP	TCGA-EM-A3AQ-01	0.0461241108910529	xcell	formal_relative_enrichment
CMP	TCGA-EM-A3AQ-01	0	xcell	formal_relative_enrichment
Chondrocytes	TCGA-EM-A3AQ-01	0.0538817336089031	xcell	formal_relative_enrichment
Class-switched memory B-cells	TCGA-EM-A3AQ-01	1.02884144944005e-18	xcell	formal_relative_enrichment
DC	TCGA-EM-A3AQ-01	3.61996283983856e-19	xcell	formal_relative_enrichment
Endothelial cells	TCGA-EM-A3AQ-01	0.197072363870777	xcell	formal_relative_enrichment
Eosinophils	TCGA-EM-A3AQ-01	0.0105228869327379	xcell	formal_relative_enrichment
Epithelial cells	TCGA-EM-A3AQ-01	0.218694851822589	xcell	formal_relative_enrichment
Erythrocytes	TCGA-EM-A3AQ-01	6.41584713012071e-20	xcell	formal_relative_enrichment
Fibroblasts	TCGA-EM-A3AQ-01	0.0401521779999726	xcell	formal_relative_enrichment
GMP	TCGA-EM-A3AQ-01	9.39558685300137e-19	xcell	formal_relative_enrichment
HSC	TCGA-EM-A3AQ-01	0.420753309837254	xcell	formal_relative_enrichment
Hepatocytes	TCGA-EM-A3AQ-01	0.00175865969587712	xcell	formal_relative_enrichment
Keratinocytes	TCGA-EM-A3AQ-01	0.0432217104570982	xcell	formal_relative_enrichment
