matrix	PC	condition_R2	source_R2
raw	1	0.803538179654626	0.784098908107171
raw	2	0.0455445066366469	0.0498792907079858
raw	3	0.000564582320707173	0.0775460477967079
raw	4	0.00442219727669274	0.0417885896531254
raw	5	0.00582994511389908	0.00896284253754014
raw	6	0.000930894377107843	0.000518378918059581
raw	7	0.000510398858011467	0.00067613062231452
raw	8	0.0149187993595789	7.88891501507534e-06
raw	9	0.00149085875587297	0.000811888811226552
raw	10	0.000550593513310814	3.84506350222002e-05
batch_corrected	1	0.659444378702378	0.487085655270886
batch_corrected	2	0.0937728485057542	0.0692634751863696
batch_corrected	3	0.0213679889498574	0.0157830459028892
batch_corrected	4	0.0255384012479532	0.0188634391438862
batch_corrected	5	0.000181221165023469	0.000133855458875997
batch_corrected	6	0.0302546090146152	0.0223469735019141
batch_corrected	7	0.0277552450274964	0.0205008673180667
batch_corrected	8	0.00132347416832097	0.000977558234371915
batch_corrected	9	0.00524579342351268	0.00387470241559273
batch_corrected	10	0.00227788117061652	0.00168251224584294
