from	to	score
TFPI	GPC3	0.71
PBX4	MEIS1	0.79
LCAT	APOD	0.859
MEIS1	HOXB3	0.798
MEIS1	MAB21L1	0.87
GABRB2	GABBR1	0.702
ABCA6	ABCA9	0.79
WDR90	C19orf71	0.808
ADH1B	ADHFE1	0.725
RMI2	TOP3B	0.88
WNT11	WNT2B	0.71
WNT11	GPC3	0.92
WNT2B	GPC3	0.919
DNAH17	DNAH1	0.919
ADHFE1	ADH4	0.759
AGAP4	AGAP6	0.925
MAN2C1	ENGASE	0.838
