gene_symbol	logFC	adj.P.Val	t	regulation
SLC23A3	-3.56394886072713	2.3495006602348e-212	-44.1762804759946	Down
MEG3	-5.99946370116997	3.91471638819217e-212	-44.135008407636	Down
CTD-2013N17.6	-3.42988214925761	3.92046497579006e-212	-44.1339579489255	Down
APOD	-6.11162437916036	4.0249066654041e-212	-44.130958098723	Down
RP3-329A5.8	-3.07762911546344	1.09112507172112e-211	-44.0513213946554	Down
PPT2-EGFL8	-3.05888170122893	1.42841464725797e-211	-44.0291677818127	Down
CCDC17	-3.28846625064009	1.49968331170597e-211	-44.0244353794744	Down
DCD	-7.46431278801873	2.49076417224668e-211	-43.9835398894884	Down
SLC7A6	-3.247396780594	4.85686494461979e-211	-43.9300222090601	Down
HSPB6	-4.62265459549419	6.40992027979127e-211	-43.9072957993995	Down
AC027601.1	-3.51122990911425	7.88720005148582e-211	-43.8901031325612	Down
AC006128.2	-3.75864550051208	9.4059159946933e-211	-43.8753877456467	Down
RP11-148K1.12	-2.97470138248853	2.12244435608782e-210	-43.8104673778814	Down
RP11-667K14.4	10.7329617447519	2.78867159735269e-210	43.7881539237132	Up
TAF1C	-2.56378711597546	8.30176514005801e-210	-43.7015121987618	Down
CTB-31O20.4	-3.65713494623662	2.1514982518666e-209	-43.6258437932021	Down
RP4-734G22.3	-2.69771038146445	2.21226536612561e-209	-43.6228572195006	Down
SLX1B-SULT1A4	-3.1339674539171	1.14597828111864e-208	-43.4928934156152	Down
HNRNPA1P4	6.90706488095247	1.19619846401089e-208	43.4887463290981	Up
RP3-394A18.1	-3.0591505696365	1.47072168582024e-208	-43.4717597492531	Down
TBX1	-5.00179786866367	1.47151934369208e-208	-43.4709516462782	Down
SLX1A-SULT1A3	-3.05766312724019	2.04885862461757e-207	-43.2637455295377	Down
RP11-734K2.4	-2.25137071172558	6.4509264303859e-207	-43.1732136402785	Down
LINC00893	-3.79903110599084	1.73210005089903e-206	-43.0952169293405	Down
ENTHD2	-2.55722018049159	5.2569833384281e-206	-43.0077119600883	Down
KCNAB3	-3.63697068612395	6.74435525787851e-206	-42.9875226197349	Down
UBE2D3P2	7.46145439708148	1.23169431169119e-205	42.9397706040163	Up
RP1-102E24.8	-3.0007764336918	1.32442051656979e-205	-42.933390830827	Down
RP11-332H14.2	-2.70894763184848	1.48316572444062e-205	-42.9238469922253	Down
YJEFN3	-4.23725889656945	1.68265963257652e-205	-42.9132961739891	Down
CTC-479C5.10	-2.86754916794679	1.79094043941781e-205	-42.9077346031835	Down
LYVE1	-4.73369413082444	3.91755343810793e-205	-42.8459726711929	Down
RP11-106M3.2	-4.1636494815669	6.76486642486317e-205	-42.802687919319	Down
BZRAP1	-2.4210664920953	9.81855363609873e-205	-42.7729694224688	Down
FAM13A-AS1	-3.17907287506405	1.31943047378045e-204	-42.7492673290545	Down
AC005253.2	-2.88374174987204	1.37508803516143e-204	-42.7453840673978	Down
FGF17	-4.72651117511529	2.64755020362406e-204	-42.6936846991284	Down
