pathway	pval	padj	log2err	ES	NES	size	leadingEdge	collection	pathway_name
HALLMARK_DNA_REPAIR	0.0325373432317903	0.178955387774846	0.321775918075361	0.20241838565409	1.25301284947098	147	FEN1,ZWINT,AK1,PCNA,RAD51,GTF2H5,GPX4,TYMS,MPG,MPC2,NME1,RPA2,ARL6IP1,TP53,TMED2,RFC2,SAC3D1,PNP,HPRT1,UMPS,TAF12,TAF10,PDE6G,PRIM1,MRPL40,EDF1,POLR2E,RRM2B,POLR2I,GTF2A2,GTF2B,CANT1,BCAP31,CLP1,POLR2J,DDB1,NT5C3A	Hallmark	HALLMARK_DNA_REPAIR
HALLMARK_E2F_TARGETS	NA	NA	NA	0.35662393675923	NA	195	ASF1B,CKS2,CENPM,TK1,GINS1,TOP2A,KIF4A,STMN1,UBE2T,CCNB2,MELK,CHEK1,MCM2,DLGAP5,MAD2L1,RRM2,RNASEH2A,SPC24,PCNA,MYBL2,MCM4,MKI67,LMNB1,HMMR,POP7,BUB1B,ANP32E,CDK1,AURKB,E2F8,NME1,ASF1A,RPA2,DIAPH3,BIRC5,HMGA1,TP53,CDCA8,ATAD2,CDKN2A,RAD51AP1,HELLS,SPC25,RFC2,MSH2,HMGB3,CDKN1A,NAA38,UBE2S,CDK4,CKS1B,SNRPB,DEPDC1,MCM5,PLK4,CDC20,MCM3,SLBP,PRIM2,GINS4,PPP1R8,KIF18B,BRCA2,RACGAP1,DCK,KPNA2,WEE1,TUBG1,RAN,PTTG1,ORC6,XRCC6,TUBB,TCF19,IPO7,PRDX4,RPA3	Hallmark	HALLMARK_E2F_TARGETS
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.704840968193639	1	0.00934075967497403	-0.272967140757756	-0.931391951690464	197	MSX1,LAMA2,FBLN5,TGFBR3,GAS1,PTX3,FBLN1,PRRX1,ELN,PDGFRB,PCOLCE2,FBLN2,COL5A3,TPM2,DCN,LRP1,COL6A2,TAGLN,NNMT,DAB2,ITGA5,COL6A3,PCOLCE,COL16A1,SLC6A8,CXCL12,MGP,SNAI2,COLGALT1,LAMA3,VEGFA,FSTL1,ABI3BP,COL12A1,ECM2,ANPEP,MYLK,FOXC2,PMP22,MFAP5,MMP2,GEM,GADD45B,FMOD,FZD8,FERMT2,TPM1,MATN2,PVR,TIMP3,THBS1,THBS2,IL15,ENO2,DST,P3H1	Hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
HALLMARK_ESTROGEN_RESPONSE_EARLY	NA	NA	NA	0.202175371906671	NA	193	CCND1,SLC27A2,LAD1,ALDH3B1,SYT12,TIAM1,CLDN7,KLK10,PMAIP1,KRT18,TPD52L1,CD44,KRT8,MREG,KRT19,AMFR,CHPT1,RBBP8,DHRS2,SLC39A6,SFN,CA12,ENDOD1,NRIP1,TIPARP,OPN3,SLC1A4,DHCR7,SULT2B1,RPS6KA2,SLC2A1,ANXA9,PRSS23,MYB,KRT15,TTC39A,DHRS3,KCNK5,RHOD,SEC14L2,ELF3,INPP5F,WWC1,ITPK1,SNX24,BAG1,INHBB,CANT1	Hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY
HALLMARK_ESTROGEN_RESPONSE_LATE	NA	NA	NA	0.319863727360972	NA	191	GINS2,CCND1,SLC27A2,SERPINA1,LAMC2,GALE,MDK,GJB3,ALDH3B1,AGR2,LSR,PERP,ST14,TIAM1,TOP2A,KLK10,IGSF1,TPD52L1,SNX10,CD44,CDH1,NMU,RNASEH2A,KRT19,CDC6,AMFR,KIF20A,NAB2,MAPK13,CHPT1,RBBP8,ID2,DHRS2,SFN,CA12,TST,ASS1,NRIP1,ETFB,OPN3,SLC1A4,TSPAN13,IDH2,DHCR7,SULT2B1,RPS6KA2,ANXA9,PRSS23,PLK4,MYB,HPRT1,CDC20,KCNK5,PDCD4,CD9,KLK11,TRIM29	Hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE
HALLMARK_FATTY_ACID_METABOLISM	0.991192072865579	1	0.00143517312642334	-0.186127467201764	-0.627245576114656	148	D2HGDH,CEL,ADH1C,RDH16,CD36,BMPR1B,AQP7,ACADVL,ACADL,CYP1A1,AOC3,FMO1,CA4,ACSS1,CIDEA,FASN,TP53INP2,ETFDH,MGLL,CYP4A11,FABP1,IDH3B,ME1,GABARAPL1,ENO2,ENO3,EPHX1,HMGCS2,ACSL1,AADAT,IDI1,CPOX	Hallmark	HALLMARK_FATTY_ACID_METABOLISM
HALLMARK_G2M_CHECKPOINT	NA	NA	NA	0.318146155972486	NA	188	E2F1,CKS2,GINS2,CCND1,TOP2A,KIF4A,STMN1,CDC45,TPX2,BUB1,CCNB2,CHEK1,MCM2,UBE2C,RAD23B,MAD2L1,PBK,NEK2,CENPF,MYBL2,ODC1,KIF11,CDC6,MKI67,SNRPD1,LMNB1,NDC80,HMMR,CDK1,AURKB,TTK,RPA2,BIRC5,NUSAP1,HMGA1,EXO1,CENPA,HMGB3,UBE2S,CDK4,CKS1B,MCM5,PLK4,CDC20,MCM3,ATF5,PRIM2,CHAF1A,HMGN2,SMC2,KIF15	Hallmark	HALLMARK_G2M_CHECKPOINT
HALLMARK_GLYCOLYSIS	NA	NA	NA	0.260073458946146	NA	193	TGFA,SDC1,MET,GALE,CLDN9,HK2,STMN1,B3GNT3,CHST2,CD44,PC,KDELR3,DSC2,EFNA3,FAM162A,HS6ST2,KIF20A,HS2ST1,BPNT1,P4HA2,HMMR,CDK1,SDC3,POLR3K,IDH1,GNPDA1,PLOD2,PKM,GPR87,PAM,QSOX1,B3GALT6,CENPA,B3GAT1,IL13RA1,DEPDC1,MDH1,ALG1,ELF3,CLDN3,LHPP,CHST6,AKR1A1,ENO1	Hallmark	HALLMARK_GLYCOLYSIS
HALLMARK_HEDGEHOG_SIGNALING	0.642736486486487	1	0.0115664242446011	-0.304745117206226	-0.906431204491236	35	GLI1,TLE1,CNTFR,L1CAM,CRMP1,VEGFA,ETS2,OPHN1,ACHE,PTCH1,DPYSL2,RTN1,NRP1,VLDLR,SCG2,HEY1	Hallmark	HALLMARK_HEDGEHOG_SIGNALING
HALLMARK_HEME_METABOLISM	0.980294088226468	1	0.00206614002744604	-0.209741592008872	-0.713593080409486	184	AGPAT4,TAL1,RBM5,RANBP10,EPOR,PPOX,EZH1,RNF19A,RAP1GAP,TNS1,SIDT2,SLC6A8,PPP2R5B,GYPC,ABCB6,CROCCP2,FBXO9,KEL,MARK3,KDM7A,ACKR1,ALAS2,KHNYN,ELL2,FTCD,HBB,ACSL6,CA1,ASNS,GAPVD1,GYPE,SLC4A1,MPP1,RHD,LMO2,SYNJ1,SLC6A9,ALDH1L1,SNCA,FOXJ2,USP15,HBD,KAT2B,SELENBP1,SLC25A37,CDR2,CPOX,BCAM,NARF	Hallmark	HALLMARK_HEME_METABOLISM
HALLMARK_HYPOXIA	0.92297689306792	1	0.00417845441498767	-0.23658079615529	-0.80490673059753	184	SRPX,ANKZF1,GPC3,INHA,PHKG1,PCK1,NDST2,DCN,WSB1,CP,NDRG1,VEGFA,PPARGC1A,JMJD6,ACKR3,F3,AKAP12,KDM3A,ALDOB,PYGM,KLF7,NFIL3,TMEM45A,TGFB3,PRKCA,PIM1,CSRP2,PFKL,TPBG,CDKN1C,BCAN,ENO2,PPFIA4,ENO3,STC2,TKTL1,TNFAIP3,SELENBP1,RORA,VLDLR,STC1,SLC2A3,BGN,ALDOC,FOSL2,HS3ST1,XPNPEP1,ZNF292,ZFP36,GCK,CHST3,RBPJ,PDGFB,B4GALNT2,HK1,BCL2,PLIN2,DDIT4,KLHL24,GYS1,LOX,GPC1,SERPINE1,KIF5A,PPP1R3C,ERRFI1,HAS1,EFNA1,TGM2,MT2A,DTNA,GBE1,IL6,COL5A1,SLC2A5,DPYSL4,MXI1,PDK1,SAP30,FOXO3	Hallmark	HALLMARK_HYPOXIA
