pathway	pval	padj	log2err	ES	NES	size	leadingEdge	collection	pathway_name
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.452807646356034	0.886346882228832	0.018469429844066	-0.42634610739576	-1.0332007710072	12	NPAS2,PER1,CRY2,CSNK1E,CRY1	KEGG	KEGG_CIRCADIAN_RHYTHM_MAMMAL
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.466248037676609	0.90304883086838	0.082532787767263	0.228579043154716	0.994106819486079	30	PC,IDH1,IDH2,ACO1,SUCLG2,MDH1	KEGG	KEGG_CITRATE_CYCLE_TCA_CYCLE
KEGG_COLORECTAL_CANCER	0.997138769670958	1	0.00227665664969172	-0.156757312710366	-0.496173313264271	61	TCF7L1,APC2,TGFBR2,AXIN2,CASP9,RAC3,RAF1,TGFB3,RALGDS,MYC,TCF7L2,PIK3CD,PIK3R5,SMAD3,BRAF,SMAD4,MAPK10,PIK3R3,ARAF,BCL2	KEGG	KEGG_COLORECTAL_CANCER
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.10147450337907	0.366104090622528	0.0435109751834675	-0.402689134696371	-1.26696484934042	57	CFD,TFPI,F10,MASP1,C6,SERPINF2,C1S,SERPINA5,C1R,KLKB1,MASP2,C7,THBD,FGG,F3,SERPING1,F8,C8G,CFH,BDKRB1	KEGG	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.779413333333333	1	0.00876007415382627	-0.275645105623108	-0.803717064424689	31	MAT2A,CTH,DNMT3B,BHMT,CBS,LDHAL6A,MTR,AHCYL2,DNMT1,DNMT3A,CDO1,TRDMT1	KEGG	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	NA	NA	NA	0.189579796684281	NA	216	CSF2,MET,TNFRSF10C,CX3CR1,CXCL16,CCL17,TNFRSF12A,TNFSF15,PDGFC,TNFSF18,CCL3,CCR8,CCL18,CCR6,CRLF2,TGFBR1,CCL22,ACVR1,TNFRSF9,TNFRSF21,CXCL11,IL1RAP,IL1B,TNFSF13,TNFSF11,CCR3,CXCL5,CXCL10,CCR1,CCL20,CCL7,CCL4L2,LTB,CXCR3,TNFRSF8,IL13RA1,IL23A,CCL3L3,IL2RB,CCL25,IFNAR1,IL1A,CD70,BMP7,GDF5,IFNGR2	KEGG	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.97609561752988	1	0.0039304251204428	-0.186384725209114	-0.561052993699588	39	IKBKB,IL33,IRF7,IKBKG,RIPK3,NFKBIA,IRF3,MAVS,POLR3A,RELA,TREX1,TBK1,POLR1D,POLR3F,CHUK,IL6,RIPK1	KEGG	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY
KEGG_DILATED_CARDIOMYOPATHY	0.000256369059168655	0.00314479379246884	0.49849310876659	-0.501641565441282	-1.62908395368274	81	ADCY4,MYH7,MYL2,ADCY3,LAMA2,DES,ITGA7,ITGA10,TTN,MYH6,MYBPC3,IGF1,ADCY5,ADCY6,ACTC1,RYR2,TPM2,ITGA8,ITGA5,PLN,CACNA1D,ITGA2B,CACNB2,ADCY2,MYL3,ITGA1,CACNA2D4,CACNA1C,SGCA,TNNT2,CACNA1F,TGFB3,ADRB1,TPM1,PRKX	KEGG	KEGG_DILATED_CARDIOMYOPATHY
KEGG_DNA_REPLICATION	0.000476293967287308	0.00547738062380404	0.49849310876659	0.446596774974375	2.00704379834053	35	FEN1,MCM2,RNASEH2A,PCNA,MCM4,RPA2,SSBP1,RFC2,MCM5,PRIM1,MCM3,PRIM2,RNASEH2B,RPA3,POLE3,RPA1,MCM6	KEGG	KEGG_DNA_REPLICATION
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.143690174936737	0.480708948879265	0.0372314563761761	-0.459271878671943	-1.27518149674266	23	PIWIL4,SPIRE2,NOTCH1,NOTCH4,ETS2,PIWIL2,SOS1,FMN2,NOTCH3	KEGG	KEGG_DORSO_VENTRAL_AXIS_FORMATION
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.00759309340545039	0.051745525429736	0.168819300017839	-0.501544561365992	-1.53018414775459	43	ADH1B,ADH4,CYP2D6,FMO2,GSTM2,AOX1,ADH1C,ADH1A,CYP3A5,CYP2E1,GSTM5,FMO1,ADH6,FMO3,UGT2B11,CYP2C8	KEGG	KEGG_DRUG_METABOLISM_CYTOCHROME_P450
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.522485778684126	0.971084679574537	0.0148148184107082	-0.340947382704867	-0.984240226159177	29	UCKL1,CYP3A5,UPB1,UGT2B11,CYP3A7,IMPDH1,TYMP,CYP2A6,UCK2,UGT1A6	KEGG	KEGG_DRUG_METABOLISM_OTHER_ENZYMES
KEGG_ECM_RECEPTOR_INTERACTION	0.160743134087237	0.509943735725029	0.0331613748753957	-0.366015557007628	-1.188637688336	81	THBS3,LAMA2,LAMB2,TNXB,ITGA7,ITGA10,RELN,CHAD,CD36,COL5A3,SV2B,COL6A1,COL6A2,ITGA8,ITGA5,COL6A3,GP6,ITGA2B,COL4A6,ITGA1,LAMA3,VTN,COL11A2,LAMA5,COL4A4,COL6A6,HSPG2,LAMC3,LAMA4,LAMB4,THBS1,THBS2	KEGG	KEGG_ECM_RECEPTOR_INTERACTION
KEGG_ENDOCYTOSIS	0.994098819763953	1	0.00113946005478325	-0.187641397325091	-0.637412039590473	176	ACAP3,DNM1,CLTCL1,PDGFRA,ARFGAP1,FGFR4,CBLB,DAB2,ARAP2,ARAP3,NTRK1,PLD1,AP2A2,CXCR1,PLD2,DNM1L,GRK1,GIT2,DNM2,GRK5,AGAP2,ASAP3,SMURF1,EGF,ADRB1,ASAP1,SH3GLB2,TRAF6,VPS36,CBLC,ADRB2,KIT,RAB11FIP3,ARRB1,PIKFYVE,PIP5K1A,FLT1,ARRB2,IQSEC1,ERBB4,KDR,VPS37B,HSPA6,HGS,VPS4A,VPS37C,SH3GL2,AP2A1,RAB11FIP2,GIT1,RABEP1,DNM3,ARFGAP3,TFRC,PSD4,EHD3,ACAP1,RBSN,ARFGAP2,FGFR2,RAB11FIP5,WWP1,CXCR2,RAB11B,PARD6G,PIP5K1B,PIP5K1C	KEGG	KEGG_ENDOCYTOSIS
KEGG_ENDOMETRIAL_CANCER	0.997843721121265	1	0.0024619522440896	-0.14711996807324	-0.459025126103094	52	TCF7L1,APC2,AXIN2,CASP9,RAF1,SOS1,EGF,MYC,TCF7L2,CTNNA3,PIK3CD,PIK3R5,PTEN,BRAF	KEGG	KEGG_ENDOMETRIAL_CANCER
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.810206363728779	1	0.00728287918244185	-0.256913810094542	-0.819650616369894	66	PLCG1,IKBKB,ATP6V1C2,MAPK12,MAPK11,JAM3,JAM2,CXCR1,TCIRG1,PTPRZ1,IKBKG	KEGG	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION
KEGG_ERBB_SIGNALING_PATHWAY	0.788879935535858	1	0.00759225840509567	-0.260738237714049	-0.849261800234505	84	PLCG1,PAK3,SHC2,CBLB,CAMK2G,NRG4,NRG2,RPS6KB2,MTOR,RAF1,SOS1,EGF,PRKCA,RPS6KB1,MYC,GAB1,MAP2K7,PLCG2,CBLC,SHC1,ERBB4,PIK3CD,PIK3R5,CAMK2B,ABL1,BRAF,MAPK10,PIK3R3,ARAF,STAT5B	KEGG	KEGG_ERBB_SIGNALING_PATHWAY
KEGG_ETHER_LIPID_METABOLISM	0.686560709265867	1	0.0109395594727249	-0.303667794536975	-0.866525429434017	27	PLA2G6,PLA2G4B,JMJD7-PLA2G4B,PLA2G2A,PLD1,PLD2	KEGG	KEGG_ETHER_LIPID_METABOLISM
KEGG_FATTY_ACID_METABOLISM	0.0758130293840845	0.290616612638991	0.0516208105781907	-0.437707586968183	-1.32288223857092	40	ADH1B,ADH4,ADH1C,ADH1A,CPT1B,ACADVL,ACADL,ADH6,ACSL6,CYP4A11,CPT1C	KEGG	KEGG_FATTY_ACID_METABOLISM
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.897103504152319	1	0.00518240340419145	-0.231724677363641	-0.745657676188957	72	PLA2G6,PLA2G4B,JMJD7-PLA2G4B,PLCG1,LAT,PLA2G2A,MAPK12,MAPK11,RAC3,PRKCE,RAF1,SOS1,PRKCA,MAP2K7,PLCG2	KEGG	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.583140296102327	1	0.0123037011100985	-0.295516087613741	-0.966487007866903	90	PLA2G6,PLA2G4B,DNM1,PLCG1,AMPH,LAT,WASF3,PLD1,PLD2,FCGR2C,DNM1L,RPS6KB2,SPHK2,DNM2,PRKCE,ASAP3,RAF1,LIMK2,PRKCA,RPS6KB1,ASAP1,PLCG2,PLA2G4F,PLA2G4A,WASF1,PIKFYVE,PIP5K1A,PIK3CD,PIK3R5,MYO10	KEGG	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS
KEGG_FOCAL_ADHESION	0.57044295570443	1	0.0125195011652794	-0.287548979187019	-0.979518988276764	190	MYL7,MYL2,THBS3,LAMA2,ACTN3,LAMB2,HGF,TNXB,ITGA7,ITGA10,FLT4,RELN,PDGFRA,ACTN2,PAK3,PDGFRB,IGF1,FLNC,CHAD,COL5A3,COL6A1,SHC2,COL6A2,ITGA8,ITGA5,COL6A3,ITGA2B,COL4A6,ITGA1,LAMA3,VEGFA,MYLK,VTN,COL11A2,LAMA5,RAC3,COL4A4,RAF1,SOS1,COL6A6,EGF,ROCK2,MYL5,PRKCA,LAMC3,LAMA4,PPP1R12A,PARVB,LAMB4,THBS1,THBS2,PDGFD	KEGG	KEGG_FOCAL_ADHESION
KEGG_FOLATE_BIOSYNTHESIS	0.192698706099815	0.573716221418123	0.0692037251597512	0.437834096065839	1.22523289205282	8	GGH,DHFR,QDPR,SPR,PTS,ALPL,FPGS,GCH1	KEGG	KEGG_FOLATE_BIOSYNTHESIS
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.942826666666667	1	0.00523091258082749	-0.215385594529453	-0.628014335183848	31	PFKFB1,ALDOB,PFKFB2,PFKL,AKR1B10,GMPPA,GMPPB,ALDOC,HK1,PFKM,PMM2,MTMR1,PFKFB4,PFKFB3,MTMR2,HK3,PMM1	KEGG	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM
