baseMean	logFC	lfcSE	stat	P.Value	adj.P.Val	gene_symbol	method	regulation	rank
108285.198799248	1.33035325762658	0.0223878521672115	59.4229963504481	0	0	SUMO2P1	DESeq2	Up	1
3001.12600994879	-3.12462154945151	0.0673179455320345	-46.4158780360372	0	0	SNORA48	DESeq2	Down	2
296283.366417818	-0.871394860660963	0.0172933944526089	-50.3888847877119	0	0	DHX16	DESeq2	NS	3
337885.661727533	-1.47383752615021	0.0259711198596323	-56.7490941521179	0	0	MDC1	DESeq2	Down	4
1963318.22059942	-1.07443526736006	0.0219544401507223	-48.9393152357251	0	0	DDX39B	DESeq2	Down	5
1287.07698983171	-2.43790843985765	0.057696714180625	-42.2538523116854	0	0	SNORD48	DESeq2	Down	6
2280.49773778698	-2.5506831988285	0.052382603948459	-48.6933257716284	0	0	SNORD52	DESeq2	Down	7
684883.852401308	1.55755861739026	0.0378089854691654	41.1954618211193	0	0	NEU1	DESeq2	Up	8
422297.303474598	-2.7346992287681	0.0706331837071101	-38.7169186668394	0	0	TNXB	DESeq2	Down	9
95649.8376406843	-2.06590086424363	0.0483169942834804	-42.7572305537632	0	0	EGFL8	DESeq2	Down	10
92746.8020598238	-1.44492353031761	0.0308660652553378	-46.812689546418	0	0	PPT2	DESeq2	Down	11
2481.50593772632	2.39980186036722	0.0411683133589599	58.2924502989124	0	0	HNRNPA1P2	DESeq2	Up	12
20475.8165261381	-1.24663753322211	0.0273546603199755	-45.5731315483294	0	0	Metazoa_SRP	DESeq2	Down	13
83970.3001971275	-1.28911650617538	0.0332974137757092	-38.7152141862681	0	0	ATAT1	DESeq2	Down	14
2882.47897672442	-2.36429525059793	0.0585957882595671	-40.3492353430694	0	0	POU5F1	DESeq2	Down	15
186432.243537932	0.901700381912014	0.02033669949542	44.3385802162778	0	0	C6orf47	DESeq2	NS	16
113937.69861997	-3.02689741193291	0.0557786999417874	-54.2661879013296	0	0	LY6G5B	DESeq2	Down	17
159040.761202661	-1.21483861116815	0.0255218850188837	-47.599877919256	0	0	DXO	DESeq2	Down	18
