logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_symbol	method	regulation	rank
3.96543528768315	3.97489863887467	83.6067703085927	0	0	890.88947128688	RP11-627K11.1	limma-voom	Up	1
4.51076264446717	5.04427611345901	88.9886599126695	0	0	935.184337190445	RPL41P2	limma-voom	Up	2
4.39758614750889	1.96526861381146	66.6068009631659	0	0	734.580391601887	RP3-423B22.5	limma-voom	Up	3
3.9782686871899	6.99393671134052	122.773584945279	0	0	1170.35844784176	EEF1A1P11	limma-voom	Up	4
3.23202198076431	2.13641284805965	70.3443374591255	0	0	771.385958309785	HMGN1P4	limma-voom	Up	5
3.13667390503246	0.522247088655069	68.7330417607596	0	0	755.168392022444	RP11-6B6.3	limma-voom	Up	6
-1.65637292250527	3.40221326296372	-80.5642065625972	0	0	865.044414731385	TRIM3	limma-voom	Down	7
-2.74840410280673	3.38245992400048	-67.8524609770636	0	0	747.361184571833	DNHD1	limma-voom	Down	8
3.19958744418031	0.554000580174731	81.1275508549036	0	0	868.443683523552	PSMC1P9	limma-voom	Up	9
4.04151797749153	1.87472429425095	76.288246830822	0	0	826.468352407844	RPL7P6	limma-voom	Up	10
-4.08597241553982	-1.49897178782239	-68.3983545389542	0	0	751.621303600468	RPL15P18	limma-voom	Down	11
3.78328257185315	3.35278435405431	79.6008711756049	0	0	856.416946141714	PPIAP6	limma-voom	Up	12
3.14614499208771	2.14252518683793	78.6253855317914	0	0	847.622763171681	MYL12BP1	limma-voom	Up	13
2.88699838318559	3.52386873007541	70.1750115729474	0	0	769.97492816054	RPS3AP47	limma-voom	Up	14
-3.35877277360175	3.5587566792145	-73.1788515984489	0	0	798.53000840168	NPIPB3	limma-voom	Down	15
-3.33980509744012	4.91617872784427	-76.6661763954768	0	0	830.550957769497	NPIPB5	limma-voom	Down	16
-1.96864483275535	5.03155190598136	-66.6916378710793	0	0	735.78550327598	CENPT	limma-voom	Down	17
-1.95709853983378	5.73253778834063	-68.9060056003828	0	0	757.661094754372	TAF1C	limma-voom	Down	18
3.29758057273077	3.76594486447925	75.1254796213608	0	0	816.461505261444	UBBP4	limma-voom	Up	19
4.84736663010763	3.5457650195781	75.6239697450791	0	0	820.851630841008	RPL12P38	limma-voom	Up	20
3.8917513869977	5.72568157417391	106.905486506659	0	0	1067.97773658226	EEF1A1P12	limma-voom	Up	21
1.96578281813898	1.7069097070919	73.9373854438075	0	0	805.288526462269	HMGB1P1	limma-voom	Up	22
