logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_symbol	method	regulation	rank
11.3187894841272	-2.68014240102171	143.128116761029	0	0	1280.23850162	AC009065.4	limma	Up	1
8.31959257552495	-4.04212554278416	80.5400782730212	0	0	863.407018859424	HMGN2P17	limma	Up	2
-8.84329375320053	-5.99602860791826	-62.7279411177713	1.24931143369466e-307	1.08319465672773e-303	694.631235255297	SOX10	limma	Down	3
7.15152371351777	-4.33112681992337	62.1378447960783	5.94687878185651e-305	3.86710659987174e-301	688.481101122347	RP11-64K7.1	limma	Up	4
-2.40856651481207	5.58673754851814	-61.2617825728623	6.0359714627569e-301	3.14003307435539e-297	679.278228460509	CLASRP	limma	Down	5
-5.09585061951658	0.561091435853998	-57.2781829222164	3.02404177507687e-282	1.31097251019207e-278	636.316019270855	ABCA10	limma	Down	6
10.2009188172044	-1.54901570881226	57.248080340832	4.21659065364343e-282	1.56682484988456e-278	635.984274620853	HMGN1P37	limma	Up	7
3.37103550947266	2.6613748403576	57.1012211406092	2.13784425222281e-281	6.95093335557093e-278	634.364267289584	HNRNPCP2	limma	Up	8
-5.47076197516648	0.757165261813538	-55.1720057737416	4.95851561467052e-272	1.43306610725772e-268	612.842531177681	HIF3A	limma	Down	9
14.5784017409116	4.62173358876118	54.5603932919116	5.0711608735297e-269	1.25625983672908e-265	605.925451551803	RP11-40C6.2	limma	Up	10
-5.76742209421413	1.07524495530013	-54.5543079013502	5.43441584501751e-269	1.25625983672908e-265	605.856398952709	ADAM33	limma	Down	11
-6.15910459549418	-0.452372158365262	-54.5486471207988	5.7956703090035e-269	1.25625983672908e-265	605.792160455203	ABCA9	limma	Down	12
-4.12894455325148	1.31384125159642	-52.7466789554992	5.58525855549669e-260	1.11752430990019e-256	585.14336674756	CHRD	limma	Down	13
6.24655256656438	-5.06840472541507	52.566694999554	4.50708291322572e-259	8.37383811827959e-256	583.058909561698	EEF1A1P16	limma	Up	14
-3.06752954539949	4.05355118174879	-51.5845849701919	4.29467809646799e-254	7.44725813114859e-251	571.613854475846	WDR27	limma	Down	15
9.67728867127506	-1.69721302681992	51.2053521457807	3.71062635483548e-252	6.0323188822266e-249	567.162290858735	RP11-10G12.1	limma	Up	16
-4.3952182411675	1.79211264367816	-51.0806883288179	1.61334687631512e-251	2.46851562351956e-248	565.695021874172	LGI4	limma	Down	17
-4.93619745679076	0.832938844756833	-51.059645788032	2.06799142533854e-251	2.98836249802671e-248	565.44716362909	PID1	limma	Down	18
-3.17391628904255	1.84452477650064	-50.3704279545917	7.24961332401677e-248	9.92472064057896e-245	557.298299300152	RUSC1-AS1	limma	Down	19
-3.1812536930364	1.71159719029374	-50.2144220032368	4.63716374216256e-247	6.03086330486952e-244	555.445527367226	DNHD1	limma	Down	20
-3.4052339413723	0.0497399744572158	-50.1650882912265	8.34427346187344e-247	1.03353760484186e-243	554.858990772406	RP11-197N18.2	limma	Down	21
3.91052953789049	0.268540740740741	49.9720873871554	8.33274676484328e-246	9.85195800456085e-243	552.561437880723	EEF1A1P9	limma	Up	22
-3.50464438044041	-1.2293809706258	-49.9392082808017	1.23379984625641e-245	1.39532033917285e-242	552.169567125461	CSPG4P12	limma	Down	23
-4.94516493855613	4.84517701149425	-49.9107917713932	1.73225925093151e-245	1.87740814066582e-242	551.830774685522	CFD	limma	Down	24
-3.18830359062986	2.36911954022989	-49.6386551557268	4.48885522445403e-244	4.67038452973095e-241	548.581124534876	EME2	limma	Down	25
-3.55739797747061	3.68393652618135	-49.3216792354438	2.01202540950217e-242	2.01287665102157e-239	544.784311124963	ADCY4	limma	Down	26
-2.50995267537126	2.97738071519796	-49.149942995736	1.58741005945985e-241	1.52926381691149e-238	542.721940472412	TRIM3	limma	Down	27
-3.25718997055817	-0.507923627075351	-48.8696926592365	4.6559320676592e-240	4.32519460756726e-237	539.348469370524	N4BP2L2-IT2	limma	Down	28
-3.67426378008198	1.85332618135377	-48.4747625948935	5.53361519997873e-238	4.96327120574644e-235	534.577795857924	RP11-66N24.3	limma	Down	29
-4.01959359319003	1.46932592592593	-48.1661327689572	2.3468610986121e-236	2.03480680119998e-233	530.83595959556	RP11-188P20.3	limma	Down	30
-2.28970307587771	1.58491287761158	-47.9062130292096	5.56064818511816e-235	4.66574257880995e-232	527.675395495513	DNAH1	limma	Down	31
-6.75193935611891	-6.4116006385696	-47.7802204957881	2.58693001318999e-234	2.1027698929089e-231	526.140299187011	PMP2	limma	Down	32
-2.74841688428063	-0.455979438058748	-47.7426285442216	4.09410571766185e-234	3.22702375218492e-231	525.681891405657	TMEM262	limma	Down	33
-4.40213371735798	-0.815838697318008	-47.695009013381	7.32531788884468e-234	5.60408363549232e-231	525.100949264153	POM121L9P	limma	Down	34
-4.35822857142865	-1.12674099616858	-47.5565111218248	3.98466500747691e-233	2.9612891859852e-230	523.409702304497	RNF112	limma	Down	35
-3.18069717101899	0.0474181353767561	-47.1173988988698	8.69799999867057e-231	6.28454661015056e-228	518.031616877916	RP11-7F17.8	limma	Down	36
9.23619738863299	-1.87546360153257	47.096993964755	1.11780351876882e-230	7.85815873694479e-228	517.78111609192	HMGN1P36	limma	Up	37
-3.37448864567338	3.76533614303959	-47.0464800690375	2.08049487632758e-230	1.42409874284623e-227	517.160758413837	KIAA0895L	limma	Down	38
-4.04117130056331	0.0147837803320562	-46.9555635131434	6.36960797027982e-230	4.24820186961406e-227	516.043411703642	RP5-966M1.6	limma	Down	39
-3.48742066052233	0.601530651340996	-46.9468571636051	7.09041092373813e-230	4.61071696343381e-227	515.936357958843	CPLX1	limma	Down	40
-3.15091335125451	-0.759080204342273	-46.9024197085627	1.22566684101853e-229	7.77580980530073e-227	515.389804486737	TIAF1	limma	Down	41
-4.07902775217621	0.361100638569604	-46.8620197322789	2.01636685442489e-229	1.24875519643919e-226	514.892694578173	ASIC3	limma	Down	42
-3.51189833589355	5.78107956577267	-46.8471223524271	2.42278007500827e-229	1.4655565704893e-226	514.709335012101	NPIPB5	limma	Down	43
-5.74627597286233	0.372897828863346	-46.8266498012383	3.11832600533054e-229	1.84342676646938e-226	514.457309854782	TIMP4	limma	Down	44
-4.78368004992326	0.936763601532567	-46.7881409041167	5.01366190265927e-229	2.898007994446e-226	513.983107779827	ABCA6	limma	Down	45
-2.96928739119308	-0.0661514687100894	-46.7060772874374	1.38010872421313e-228	7.80391478815385e-226	512.971948649196	RP11-106M3.3	limma	Down	46
-3.56589280593964	3.02132056194125	-46.6281810961017	3.61141427407758e-228	1.99864886559643e-225	512.011358169599	SH3BP5-AS1	limma	Down	47
6.7329307987713	-5.38490536398467	46.4569884550067	2.99884668894217e-227	1.62506252554323e-224	509.897594939125	RP11-1029M24.1	limma	Up	48
-3.62050954301081	2.2695846743295	-46.4290692193351	4.23669030235503e-227	2.24899084601136e-224	509.552520247565	LY6G5B	limma	Down	49
-3.35725215053771	-2.00980996168582	-46.3902074693253	6.85469392215594e-227	3.56594887218396e-224	509.07203638759	AC012314.8	limma	Down	50
-7.15234359319021	-7.06501238825032	-46.3150049255888	1.74015448840329e-226	8.87512909761921e-224	508.141700732917	SPRR2E	limma	Down	51
-5.13404563492071	-0.636439719029374	-46.2942866614043	2.24961735115722e-226	1.12528455617212e-223	507.885269361479	ADGRG3	limma	Down	52
-3.40637841141838	2.07897713920817	-46.1935410665712	7.84741071468983e-226	3.85130188867542e-223	506.637568790739	SEC31B	limma	Down	53
-3.37458497183825	0.968045466155811	-46.0461261298373	4.89436117680252e-225	2.3575412698113e-222	504.809596662248	RP11-793H13.10	limma	Down	54
-2.68567513440865	2.53434942528736	-46.0392934890801	5.32808494103713e-225	2.51979668002394e-222	504.724804801888	TMEM120B	limma	Down	55
-3.72865349462369	-0.0737521072796935	-45.8525476924928	5.43748410927949e-224	2.5256142708298e-221	502.405064682485	CTA-228A9.3	limma	Down	56
-3.09539581413215	1.49552260536398	-45.7881507336502	1.21259657856728e-223	5.53348238686203e-221	501.604121590037	RP11-66N24.4	limma	Down	57
-3.22141722350236	5.46501111111111	-45.4344574671976	1.00186099180835e-221	4.49300107895291e-219	497.195808831596	PAN2	limma	Down	58
6.17859659498218	-5.78600779054917	45.3438290706181	3.11256022536455e-221	1.37221701732131e-218	496.063739304396	RP11-79P5.3	limma	Up	59
-2.46292498307727	0.0438064594872899	-45.2935690444077	5.8388892751759e-221	2.53125581561e-218	495.435484042231	DNAH17	limma	Down	60
-3.45494748463909	-2.40525632183908	-45.2410545107231	1.12705065125727e-220	4.80585483440211e-218	494.778711617616	CCDC116	limma	Down	61
-4.86974731822845	0.798643550446999	-45.1411400986502	3.94241385462615e-220	1.65396978665614e-217	493.52818663371	FAM65C	limma	Down	62
-3.48113342933952	1.88891954022989	-45.090264247771	7.46238946091919e-220	3.08101924234871e-217	492.890949890709	RP11-228B15.4	limma	Down	63
-3.6824957117256	1.67596832694764	-45.079635335636	8.52687914672757e-220	3.46551021071142e-217	492.757778685414	PTGIR	limma	Down	64
-2.75593557987715	0.790137931034483	-45.0616384396747	1.06871277654191e-219	4.27665969702025e-217	492.532260945672	RP11-186B7.4	limma	Down	65
-3.05730501152078	3.93248275862069	-45.0422854539412	1.36251435401128e-219	5.36975164578596e-217	492.289705282972	GABBR1	limma	Down	66
