PC	variance_explained
1	21.5694016607435
2	5.93271185664051
3	2.55163597525268
4	2.03367566103157
5	1.38036075515642
6	1.03276304849691
7	0.754961438433538
8	0.688883697938301
9	0.603210728482745
10	0.520997097763289
11	0.50933484400433
12	0.489303249073148
13	0.469718989046501
14	0.421272483548659
15	0.408235573976597
16	0.388110182257034
17	0.357045600774369
18	0.345109460890335
19	0.338620292932749
20	0.321919843940533
21	0.304294040604639
22	0.292496226805546
23	0.288741067032118
24	0.273637765040085
25	0.267595583944
26	0.263753361459535
27	0.258948058884866
28	0.250222852097482
29	0.247888177931294
30	0.245462926558277
31	0.242035344439612
32	0.238145632652419
33	0.233960079253775
34	0.229060098930905
35	0.226782582249581
36	0.224219618354331
37	0.223846819115015
38	0.220054946432537
39	0.219146195108542
40	0.215849242447363
41	0.213443500311068
42	0.212675609617282
43	0.211124992555002
44	0.210439217072772
45	0.209377017363457
46	0.206866059063043
47	0.205184378013466
48	0.204296052283
49	0.202355017330911
50	0.199901179686006
51	0.199415518515093
52	0.19814897259185
53	0.19747284926151
54	0.196403946481574
55	0.196196196688948
56	0.195042339450605
57	0.194490732913265
58	0.193266565495351
59	0.191228800401057
60	0.190335013119717
61	0.189446658114042
62	0.189039976018166
63	0.187301102113493
64	0.186864241183526
65	0.185239039116851
66	0.184426320533012
67	0.183212831487965
68	0.182007744585797
69	0.181450693275011
70	0.180974722701002
71	0.179960719701035
72	0.179285823371653
73	0.178729190410269
74	0.178521957637851
75	0.177911630561731
76	0.177080425160069
77	0.176410088648767
78	0.175959591456898
79	0.1744965093198
80	0.173494210334178
81	0.173154375262946
82	0.172123202651945
83	0.171708536474998
84	0.171197351616413
85	0.170168688107657
86	0.168844233738158
87	0.168183229814503
88	0.167476350436215
89	0.167214070084796
90	0.165915117976938
91	0.165396381512947
92	0.164564770507673
93	0.164230316131994
94	0.163923361931469
95	0.163624309664124
96	0.162879683163114
97	0.162424792113587
98	0.161812578655195
99	0.161343453659095
100	0.16029102093678
101	0.16003477604966
102	0.15950087825757
103	0.15890759652981
104	0.157683175984827
105	0.156855062735405
106	0.156239861470732
107	0.155668259821866
108	0.155018897418
109	0.154031495345939
110	0.153660175684128
111	0.153368979262462
112	0.153300237918841
113	0.152286273267035
114	0.151755468496459
115	0.151318254545677
116	0.151163690651594
117	0.150315741922459
118	0.149893549332793
119	0.149205111998774
120	0.148804371643526
121	0.148251344787669
122	0.147195874557894
123	0.14692209180796
124	0.146401549464649
125	0.145802301144106
126	0.145155907238698
127	0.144621155418961
128	0.144404263272867
129	0.144152472101017
130	0.143646049171925
131	0.143210251818113
132	0.143048895834818
133	0.142309357115378
134	0.141602738422867
135	0.140952682132356
136	0.140364136473342
137	0.140031950742569
138	0.139720002014352
139	0.139277897229674
140	0.138760038281812
141	0.138048606461252
142	0.137861867205545
143	0.137386838344084
144	0.136885713432848
145	0.13668773481042
146	0.135885679512355
147	0.135478268835179
148	0.135236000935889
149	0.134915772978167
150	0.134412842685494
151	0.13407578349161
152	0.133156943564985
153	0.13257068918348
154	0.132467352151729
155	0.132299697031317
156	0.131727872203046
157	0.130911466285201
158	0.130570972870041
159	0.129873410151755
160	0.129734742190941
161	0.129462529797506
162	0.129008288806011
163	0.128829252698274
164	0.127991278047459
165	0.127596154959998
166	0.127263841348391
167	0.126947138287022
168	0.126572871146431
169	0.126312667502261
170	0.125607427308974
171	0.125389401418346
172	0.125253825952255
173	0.124561700708837
174	0.124432052295706
175	0.12395052805431
176	0.123099068291613
177	0.123020638868093
178	0.122572735845911
179	0.122114768022489
180	0.121914904146822
181	0.12152839944525
182	0.121035010683812
183	0.120497271284962
184	0.120128795436499
185	0.119899534270499
186	0.119403189058977
187	0.1188539278474
188	0.118574129458766
189	0.118496817789181
190	0.117825415139776
191	0.117498848411479
192	0.117430407785484
193	0.117048329892899
194	0.116349502844932
195	0.116014003922448
196	0.115745617471883
197	0.115492365295864
198	0.115171171926825
199	0.11466228167968
200	0.114257703745389
201	0.113734700510346
202	0.113410413026695
203	0.113029173849712
204	0.112623270225948
205	0.112422242288786
206	0.111949317521464
207	0.111494858528868
208	0.111316094264005
209	0.111060675809559
210	0.110382968492594
211	0.110187534837536
212	0.109930146577479
213	0.109876315601771
214	0.109154714098346
215	0.109052771403172
216	0.108679851552613
217	0.108423741731639
218	0.108392805730906
219	0.107848570314703
220	0.107462149368796
221	0.107133389046728
222	0.106554797517002
223	0.10642303885492
224	0.10612002109107
225	0.105932541495368
226	0.105603248986587
227	0.105343516894076
228	0.10477854331131
229	0.104776194075861
230	0.104235572881688
231	0.103988674236456
232	0.103553224583204
233	0.103335988133183
234	0.10281113483719
235	0.102559717953502
236	0.102322610488694
237	0.101884052067334
238	0.10177667268807
239	0.101716004583423
240	0.101444017604802
241	0.100747811206805
242	0.100404521849363
243	0.100324294496146
244	0.0997801561087603
245	0.0993542718337185
246	0.0991094889793975
247	0.0988743193976217
248	0.0988076560462078
249	0.0980642111446889
250	0.0977782244318378
251	0.0973976389324815
252	0.0971857990576017
253	0.097026492161616
254	0.0967976021874672
255	0.0966635502841168
256	0.0964288468830989
257	0.0960011224392545
258	0.0957993894096051
259	0.0952998735229985
260	0.095140983541943
261	0.094759712318694
262	0.0944640267490167
263	0.0940601123634671
264	0.0939448343321845
265	0.0937117550966683
266	0.0932053550872654
267	0.0929243267321206
268	0.0926877060444513
269	0.0922441471485844
270	0.0919374552891146
271	0.0917816942920381
272	0.0914609288337849
273	0.0910035268053225
274	0.0907697672091405
275	0.0906021827003012
276	0.0902454659615188
277	0.0900896766681577
278	0.0898010349843114
279	0.0896053381965614
280	0.0889394184303185
281	0.0888717206933085
282	0.0885242799627734
283	0.0883414357057384
284	0.0882777874586359
285	0.0877144904198862
286	0.0876368337103117
287	0.0874571378205038
288	0.0870509651937274
289	0.0868499136914039
290	0.086522801767583
291	0.0862685726096482
292	0.0860113920873288
293	0.0856535245733953
294	0.0854150012832131
295	0.0852946422055937
296	0.0851148952761348
297	0.0848183044090647
298	0.0844663313588971
299	0.0844122298399134
300	0.084074712590056
301	0.0839661470275
302	0.0834203875353557
303	0.0833324447078044
304	0.082969005151847
305	0.082828490405087
306	0.0826010509729949
307	0.0823788852751604
308	0.0821766793274937
309	0.0819856984148411
310	0.0816477514859846
311	0.0812819418677552
312	0.0811108765062549
313	0.080731379124379
314	0.080373925028054
315	0.0801385667637786
316	0.0800759716021929
317	0.0796468004144044
318	0.0795520567730995
319	0.0791800787675865
320	0.0787035206814549
321	0.0785625048960355
322	0.0784668501965693
323	0.0782088507733612
324	0.0780694485748569
325	0.0777385789848103
326	0.0776332215295338
327	0.077245351387887
328	0.0768864738234867
329	0.076724288999637
330	0.0766157141699178
331	0.0761896183171578
332	0.0760195815691594
333	0.0758549782168427
334	0.0755815061377822
335	0.0754035436988024
336	0.0750857648527957
337	0.0750672491325405
338	0.0748875904258333
339	0.0746477838805725
340	0.0744598252514161
341	0.0743200165806098
342	0.0740726353876101
343	0.0740076223113703
344	0.0737000992132117
345	0.0736076926601917
346	0.0732835418712573
347	0.0731542632592523
348	0.0728290552280908
349	0.0726850466025316
350	0.0723161060488897
351	0.0718887079476491
352	0.071819800626698
353	0.0715220789411218
354	0.0713234553401796
355	0.0712046027684975
356	0.070967974953223
357	0.070930111964214
358	0.0706834162649904
359	0.0702733302575539
360	0.0701050753174904
361	0.0697605916921678
362	0.0696562901357715
363	0.0693755175692661
364	0.0692035448759052
365	0.0688984239062781
366	0.0685818660954411
367	0.0684357647056546
368	0.0681157984386262
369	0.0678483261267532
370	0.0677153694051028
371	0.0674182947837931
372	0.0673017270733942
373	0.0670991027938895
374	0.0668634163195683
375	0.0667059935601705
376	0.0664720376113409
377	0.0663720440012158
378	0.0661287976488065
379	0.0658028824011029
380	0.0656093641516048
381	0.0655462856390465
382	0.0653841208093087
383	0.0651363437985572
384	0.0650553730825707
385	0.064620672679142
386	0.0643865599166228
387	0.064292419716006
388	0.063928052767393
389	0.0638378065000964
390	0.0636680722569802
391	0.0634382159853644
392	0.0633124122633805
393	0.0630227038361368
394	0.0628224087368459
395	0.0626189491509543
396	0.0625368715853893
397	0.0624919907704358
398	0.0621933937096928
399	0.0618976912321567
400	0.0618390338062287
401	0.0615550927461301
402	0.0613766475879373
403	0.0609524139723677
404	0.0608583799811614
405	0.0605008902208585
406	0.0604671970023252
407	0.0602932100581345
408	0.0601219143348477
409	0.0598442768386963
410	0.0596099521042101
411	0.0593667376038174
412	0.0591972731625641
413	0.0591392847160565
414	0.0588977628237774
415	0.0585720975330519
416	0.0584533084002573
417	0.0583649792542774
418	0.0580514050832268
419	0.0579102891670751
420	0.057872200083895
421	0.0575353810767003
422	0.0573306982043485
423	0.0571804605833175
424	0.0569501765669279
425	0.056715878243691
426	0.056657329670352
427	0.0563014753871733
428	0.0562559273721896
429	0.0560498001012972
430	0.0557352813983994
431	0.0556602449000916
432	0.0554439391030479
433	0.0553530432204821
434	0.0551896880233314
435	0.0550418834037165
436	0.0548293784726291
437	0.0546395281409432
438	0.0545145755666
439	0.054303973675165
440	0.0541974583488091
441	0.0539158140969638
442	0.0535911682386558
443	0.0535768642780718
444	0.0533689997339104
445	0.0532023226904797
446	0.0528797425255289
447	0.052765402197604
448	0.0526938231092096
449	0.0525985869168495
450	0.0525561360916552
451	0.0521393157461205
452	0.0520763850906231
453	0.051689436311179
454	0.051563321721968
455	0.0515071746318028
456	0.0513965066176998
457	0.0511907967365791
458	0.0510531967755593
459	0.0509046650166982
460	0.0506458184492427
461	0.0503942838449624
462	0.0500332493415494
463	0.049963528324188
464	0.0498645025202475
465	0.0496987292425621
466	0.0494828730405143
467	0.049398221286818
468	0.049199987958691
469	0.0489582133067618
470	0.0488078222932808
471	0.0486624173313519
472	0.0485825405957176
473	0.0484209134707163
474	0.0483239255944384
475	0.0478717675715862
476	0.0477092883972742
477	0.0474927608829409
478	0.0473227163565552
479	0.0472223313056531
480	0.0470974887121103
481	0.0469644226984037
482	0.0467741687067891
483	0.0465298786825747
484	0.0464769971448688
485	0.0463067527416724
486	0.0461469918311247
487	0.0460879148099262
488	0.0458850154498468
489	0.0457898453811134
490	0.0455631859108895
491	0.0454221867345287
492	0.0453388572642289
493	0.0449800406596163
494	0.0447291113574449
495	0.0445303782336568
496	0.0445222218516717
497	0.0444399981249629
498	0.0441936078588159
499	0.0439842238714652
500	0.0438201364380809
501	0.0437368290496625
502	0.0435581735345302
503	0.0435047408870874
504	0.043351426997736
505	0.0431596665562474
506	0.0429559758322244
507	0.0427781874068387
508	0.0426316645855256
509	0.0424927827633983
510	0.042346543861156
511	0.042153480141881
512	0.0420064729870577
513	0.0419608086244628
514	0.0417565262639199
515	0.0414976553035443
516	0.0413776618233199
517	0.0413087939740866
518	0.0412280738658657
519	0.0411302060975397
520	0.0409157945041479
521	0.0408098766938884
522	0.0407073289727933
523	0.0405412666121382
524	0.0403973583500021
525	0.0403413939533709
526	0.0400788078902395
527	0.0397020888617078
528	0.039677627904102
529	0.039514998080719
530	0.0392826078268678
531	0.0391669373882915
532	0.0391473437117376
533	0.0388819055322207
534	0.0387727588847309
535	0.038684159880416
536	0.0384819977171901
537	0.0384129319075965
538	0.0383729715428553
539	0.0380861233237429
540	0.0379180596683451
541	0.0378247437600961
542	0.0376407779388774
543	0.0374578770666882
544	0.0373569468414281
545	0.0372897265325019
546	0.0370762604644008
547	0.036926605779863
548	0.0368479804156303
549	0.0365780605577757
550	0.0363990560157278
551	0.0363668502689846
552	0.0362195729761746
553	0.0360011068851265
554	0.0359375805099763
555	0.0358411977660438
556	0.0357034980118201
557	0.0355912147238348
558	0.035403637183736
559	0.0353257584877809
560	0.035257881479661
561	0.034974793277195
562	0.0349177365418699
563	0.0347046519951612
564	0.0345659706961158
565	0.034395088747156
566	0.0342626024938213
567	0.0341169820216762
568	0.0339808169625608
569	0.0338991258394288
570	0.0336922908468951
571	0.0336106297854233
572	0.0334021896667436
573	0.0332990446282523
574	0.0331642000363093
575	0.0330982148553628
576	0.0329338333204756
577	0.0328013658253127
578	0.0327336954708778
579	0.0326681907453634
580	0.0324133388414654
581	0.0323424190443079
582	0.0321914148201827
583	0.0320893896740423
584	0.0320167555759339
585	0.0318262702592521
586	0.0316972751486151
587	0.0314837500097943
588	0.0313466293880748
589	0.0312925338976218
590	0.0311347820702902
591	0.0310576862634164
592	0.0308246737670082
593	0.0306536438432019
594	0.0305534406636894
595	0.0304202226909255
596	0.0302409585932672
597	0.0300854292911716
598	0.0300084203106727
599	0.0299092297343836
600	0.029753299286711
601	0.029681012862397
602	0.0295977521841452
603	0.0294776935570222
604	0.0292278035274198
605	0.0290553372220905
606	0.0288476903314027
607	0.0287390795974469
608	0.0286550634897256
609	0.028517473091703
610	0.0283588560576132
611	0.0283304674100979
612	0.0282981870966316
613	0.0281585106646949
614	0.0280928569624026
615	0.0277411023058495
616	0.0276723708657359
617	0.027556112902726
618	0.0273430806557025
619	0.0273341963807269
620	0.0272697152490175
621	0.027080774959092
622	0.027026581198321
623	0.0268612956666519
624	0.0268113636128656
625	0.0267157477300811
626	0.0266432161219044
627	0.0264818886696254
628	0.026367835837986
629	0.0262209771935359
630	0.0260651018664296
631	0.0259779654536188
632	0.0258665771803451
633	0.0257084216222822
634	0.0255487655404625
635	0.0254484218617786
636	0.0253557741999915
637	0.0252654750438526
638	0.0252328741210694
639	0.025054215810313
640	0.0249322823661546
641	0.0248479034665126
642	0.0247904843717149
643	0.0245616454838639
644	0.0244869395659885
645	0.0243635670075982
646	0.0242600525083596
647	0.0242299851409004
648	0.0241196676346799
649	0.0238580919581525
650	0.0237020493472897
651	0.023639531828809
652	0.0235571423761905
653	0.0234953858644656
654	0.0233121179281522
655	0.0232380879965205
656	0.0229507458712567
657	0.0228476720407489
658	0.0228131026752194
659	0.0225999317021725
660	0.0224937542394939
661	0.0224491899093359
662	0.0223802936021799
663	0.0222993907728097
664	0.0221235254891257
665	0.0220934084011559
666	0.0219934521134469
667	0.0219160861359844
668	0.0217712624528698
669	0.0216451382356289
670	0.0215143788637768
671	0.0214785452276929
672	0.0213181550470744
673	0.0212375814548299
674	0.0211747455055208
675	0.0211155372207601
676	0.0209422413490677
677	0.0208903683897471
678	0.0207912732256544
679	0.0206324448290829
680	0.0205127632902862
681	0.0203265315380606
682	0.0202463618075391
683	0.0201727407291528
684	0.0201462883805808
685	0.0199825031606208
686	0.0199061199808919
687	0.0197126011709769
688	0.0196354954856581
689	0.019592487976545
690	0.0194957656010246
691	0.0193631883372343
692	0.01925559680358
693	0.0191033038563759
694	0.0189803301517476
695	0.0188980116955042
696	0.0187475920824389
697	0.0186631526616282
698	0.0184595799601486
699	0.0184103546410848
700	0.0182968010765149
701	0.0182685127051242
702	0.0181187403530052
703	0.0179966055359086
704	0.017811193868103
705	0.0177881807626434
706	0.0176777077644372
707	0.0175455943706922
708	0.0174984767292406
709	0.0173350806453382
710	0.0171928609114213
711	0.0171553974394275
712	0.017078507496058
713	0.0169029649383333
714	0.0168061072020584
715	0.0167789367463996
716	0.0166850110817748
717	0.0164784694893832
718	0.0164195004105472
719	0.0163047697907363
720	0.0161729860834335
721	0.0161226660499566
722	0.0159621573547536
723	0.0159049836167431
724	0.0158626176473489
725	0.0156816873571431
726	0.0154823933907415
727	0.0154284701559513
728	0.0153707334276636
729	0.0152079666482582
730	0.0151982037327356
731	0.0150750613756055
732	0.0150288681606294
733	0.0147916199546774
734	0.0146598428707265
735	0.0145468236440764
736	0.0144453092935212
737	0.0143731972266319
738	0.0142255924411783
739	0.0141482180909263
740	0.0141350608780345
741	0.0140161663531103
742	0.0138491739213601
743	0.0137197821865616
744	0.0136459025911074
745	0.0135837999424534
746	0.0134583892605282
747	0.0133141200681928
748	0.0131496788661741
749	0.0131189101684488
750	0.0129985810704999
751	0.0127954444233831
752	0.0126941930907396
753	0.0125376215239339
754	0.0123272815615669
755	0.012293019847653
756	0.0122133448734681
757	0.0121617457602805
758	0.0120410429062855
759	0.0119769267455925
760	0.0118227926971556
761	0.0117217710379509
762	0.0115736721889014
763	0.0114641172237919
764	0.0113824009595566
765	0.011180129245684
766	0.0110693895563125
767	0.0108702745496021
768	0.010827200174694
769	0.0106818469806114
770	0.0105568790598515
771	0.0104076462342376
772	0.0103897402480123
773	0.0101593217797395
774	0.00999930781517157
775	0.00991680665464158
776	0.00976400363563538
777	0.00974237820282866
778	0.00947846288881787
779	0.00934333176729184
780	0.0092581995282255
781	0.0092314599796721
782	0.00861685677736153
783	2.05019011525763e-30
