sample	condition	source
TCGA-EM-A3FP-01	THCA	TCGA
TCGA-EM-A3AJ-01	THCA	TCGA
TCGA-EM-A2CR-01	THCA	TCGA
TCGA-FY-A4B3-01	THCA	TCGA
TCGA-ET-A3DW-01	THCA	TCGA
TCGA-EM-A1YC-01	THCA	TCGA
TCGA-EL-A3D0-01	THCA	TCGA
TCGA-FE-A232-01	THCA	TCGA
TCGA-FY-A40L-01	THCA	TCGA
TCGA-EL-A3ZL-01	THCA	TCGA
TCGA-DE-A4M8-01	THCA	TCGA
TCGA-BJ-A190-01	THCA	TCGA
TCGA-EM-A22N-01	THCA	TCGA
TCGA-DJ-A4V0-01	THCA	TCGA
TCGA-EM-A2P2-01	THCA	TCGA
TCGA-KS-A4I9-01	THCA	TCGA
TCGA-EM-A2CL-01	THCA	TCGA
TCGA-EL-A3CM-01	THCA	TCGA
TCGA-EM-A2CT-01	THCA	TCGA
TCGA-EL-A3GY-01	THCA	TCGA
TCGA-E8-A413-01	THCA	TCGA
TCGA-EL-A3GR-01	THCA	TCGA
TCGA-BJ-A2P4-01	THCA	TCGA
TCGA-EL-A3ZT-01	THCA	TCGA
TCGA-E8-A437-01	THCA	TCGA
TCGA-EL-A3CS-01	THCA	TCGA
TCGA-DJ-A1QD-01	THCA	TCGA
TCGA-EL-A3T3-01	THCA	TCGA
TCGA-BJ-A45G-01	THCA	TCGA
TCGA-CE-A481-01	THCA	TCGA
TCGA-E8-A3X7-01	THCA	TCGA
TCGA-KS-A4I7-01	THCA	TCGA
TCGA-EL-A3ZG-01	THCA	TCGA
TCGA-EL-A4KD-01	THCA	TCGA
TCGA-FY-A3YR-01	THCA	TCGA
TCGA-BJ-A28R-01	THCA	TCGA
TCGA-KS-A41F-01	THCA	TCGA
TCGA-IM-A3U3-01	THCA	TCGA
TCGA-BJ-A2N7-01	THCA	TCGA
TCGA-FY-A3NM-01	THCA	TCGA
TCGA-BJ-A45K-01	THCA	TCGA
TCGA-DJ-A3UM-01	THCA	TCGA
TCGA-E3-A3E1-01	THCA	TCGA
TCGA-DJ-A1QQ-01	THCA	TCGA
TCGA-ET-A3DT-01	THCA	TCGA
TCGA-DJ-A4V2-01	THCA	TCGA
TCGA-DJ-A2Q4-01	THCA	TCGA
TCGA-EL-A3GX-01	THCA	TCGA
TCGA-DJ-A1QN-01	THCA	TCGA
TCGA-EM-A4FF-01	THCA	TCGA
TCGA-ET-A2MZ-01	THCA	TCGA
TCGA-DJ-A2Q0-01	THCA	TCGA
TCGA-DJ-A2PX-01	THCA	TCGA
TCGA-EM-A1CT-01	THCA	TCGA
TCGA-ET-A39L-01	THCA	TCGA
TCGA-EL-A4K6-01	THCA	TCGA
TCGA-EM-A22Q-01	THCA	TCGA
TCGA-DJ-A3V9-01	THCA	TCGA
TCGA-DJ-A4UR-01	THCA	TCGA
TCGA-DE-A0XZ-01	THCA	TCGA
TCGA-FK-A3SD-01	THCA	TCGA
TCGA-BJ-A0ZB-01	THCA	TCGA
TCGA-FY-A3R9-01	THCA	TCGA
TCGA-EL-A3N2-01	THCA	TCGA
TCGA-EM-A3FJ-01	THCA	TCGA
TCGA-EM-A3ST-01	THCA	TCGA
TCGA-QD-A8IV-01	THCA	TCGA
TCGA-DJ-A2PW-01	THCA	TCGA
TCGA-ET-A3DR-01	THCA	TCGA
TCGA-DJ-A2Q2-01	THCA	TCGA
TCGA-BJ-A0ZF-01	THCA	TCGA
TCGA-FE-A238-01	THCA	TCGA
TCGA-DJ-A2PZ-01	THCA	TCGA
TCGA-EM-A3FL-01	THCA	TCGA
TCGA-DJ-A13X-01	THCA	TCGA
TCGA-DE-A0Y3-01	THCA	TCGA
TCGA-EL-A3D4-01	THCA	TCGA
TCGA-EL-A3CX-01	THCA	TCGA
TCGA-MK-A84Z-01	THCA	TCGA
TCGA-DJ-A3VI-01	THCA	TCGA
TCGA-FY-A4B0-01	THCA	TCGA
TCGA-ET-A2MY-01	THCA	TCGA
TCGA-EL-A3T2-01	THCA	TCGA
TCGA-BJ-A45F-01	THCA	TCGA
TCGA-EM-A2OW-01	THCA	TCGA
TCGA-BJ-A3F0-01	THCA	TCGA
TCGA-DO-A1JZ-01	THCA	TCGA
TCGA-EM-A4FU-01	THCA	TCGA
TCGA-DJ-A3UX-01	THCA	TCGA
TCGA-E8-A434-01	THCA	TCGA
TCGA-DJ-A2PY-01	THCA	TCGA
TCGA-DJ-A1QG-01	THCA	TCGA
TCGA-EL-A3GZ-01	THCA	TCGA
TCGA-ET-A3BO-01	THCA	TCGA
TCGA-DJ-A3V8-01	THCA	TCGA
TCGA-EM-A3AN-01	THCA	TCGA
TCGA-DJ-A3V5-01	THCA	TCGA
TCGA-EM-A3AQ-01	THCA	TCGA
TCGA-EM-A3SY-01	THCA	TCGA
TCGA-EL-A3GV-01	THCA	TCGA
TCGA-FY-A3R7-01	THCA	TCGA
TCGA-EM-A3AI-01	THCA	TCGA
TCGA-ET-A3BU-01	THCA	TCGA
TCGA-J8-A4HY-01	THCA	TCGA
TCGA-DJ-A3V4-01	THCA	TCGA
TCGA-BJ-A290-01	THCA	TCGA
TCGA-J8-A3NZ-01	THCA	TCGA
TCGA-BJ-A0Z5-01	THCA	TCGA
TCGA-EM-A3AR-01	THCA	TCGA
TCGA-ET-A25M-01	THCA	TCGA
TCGA-DJ-A4V4-01	THCA	TCGA
TCGA-IM-A41Z-01	THCA	TCGA
TCGA-CE-A3ME-01	THCA	TCGA
TCGA-IM-A3EB-01	THCA	TCGA
TCGA-EL-A3ZQ-01	THCA	TCGA
TCGA-H2-A2K9-01	THCA	TCGA
TCGA-EL-A4K9-01	THCA	TCGA
TCGA-FY-A3R8-01	THCA	TCGA
TCGA-DO-A1K0-01	THCA	TCGA
TCGA-E8-A417-01	THCA	TCGA
TCGA-ET-A39P-01	THCA	TCGA
TCGA-FK-A3SH-01	THCA	TCGA
TCGA-E8-A418-01	THCA	TCGA
TCGA-ET-A25J-01	THCA	TCGA
TCGA-FY-A3BL-01	THCA	TCGA
TCGA-EL-A4JV-01	THCA	TCGA
TCGA-BJ-A45C-01	THCA	TCGA
TCGA-ET-A39J-01	THCA	TCGA
TCGA-EL-A3T8-01	THCA	TCGA
TCGA-BJ-A2NA-01	THCA	TCGA
TCGA-DJ-A2Q7-01	THCA	TCGA
TCGA-EM-A3AK-01	THCA	TCGA
TCGA-EM-A22K-01	THCA	TCGA
TCGA-EL-A3CU-01	THCA	TCGA
TCGA-DJ-A3UZ-01	THCA	TCGA
TCGA-EM-A22O-01	THCA	TCGA
TCGA-BJ-A18Y-01	THCA	TCGA
TCGA-ET-A3BN-01	THCA	TCGA
TCGA-ET-A3BP-01	THCA	TCGA
TCGA-DJ-A4UL-01	THCA	TCGA
TCGA-ET-A3BQ-01	THCA	TCGA
TCGA-DJ-A2Q6-01	THCA	TCGA
TCGA-DJ-A3VL-01	THCA	TCGA
TCGA-BJ-A0ZG-01	THCA	TCGA
TCGA-J8-A4HW-01	THCA	TCGA
TCGA-IM-A3ED-01	THCA	TCGA
TCGA-DJ-A2PO-01	THCA	TCGA
TCGA-E3-A3E3-01	THCA	TCGA
TCGA-EM-A2P3-01	THCA	TCGA
TCGA-EM-A2OV-01	THCA	TCGA
TCGA-FK-A3SE-01	THCA	TCGA
TCGA-ET-A3BT-01	THCA	TCGA
TCGA-IM-A41Y-01	THCA	TCGA
TCGA-E8-A415-01	THCA	TCGA
TCGA-FY-A76V-01	THCA	TCGA
TCGA-EM-A4FV-01	THCA	TCGA
TCGA-H2-A422-01	THCA	TCGA
TCGA-ET-A3BS-01	THCA	TCGA
TCGA-EL-A3T7-01	THCA	TCGA
TCGA-ET-A25P-01	THCA	TCGA
TCGA-DJ-A13U-01	THCA	TCGA
TCGA-FY-A3W9-01	THCA	TCGA
TCGA-J8-A3YD-01	THCA	TCGA
TCGA-BJ-A192-01	THCA	TCGA
TCGA-BJ-A0ZA-01	THCA	TCGA
TCGA-DJ-A2PP-01	THCA	TCGA
TCGA-DJ-A2PN-01	THCA	TCGA
TCGA-EL-A3TB-01	THCA	TCGA
TCGA-DJ-A1QF-01	THCA	TCGA
TCGA-DJ-A2PU-01	THCA	TCGA
TCGA-EM-A3AL-01	THCA	TCGA
TCGA-EM-A2CN-01	THCA	TCGA
TCGA-EL-A3GW-01	THCA	TCGA
TCGA-KS-A4I1-01	THCA	TCGA
TCGA-FE-A236-01	THCA	TCGA
TCGA-EL-A3MW-01	THCA	TCGA
TCGA-DJ-A13S-01	THCA	TCGA
TCGA-EL-A3H4-01	THCA	TCGA
TCGA-KS-A4IC-01	THCA	TCGA
TCGA-DJ-A2PR-01	THCA	TCGA
TCGA-DJ-A1QL-01	THCA	TCGA
TCGA-DJ-A13P-01	THCA	TCGA
TCGA-EL-A3GQ-01	THCA	TCGA
TCGA-EM-A4FK-01	THCA	TCGA
TCGA-DJ-A3UU-01	THCA	TCGA
TCGA-BJ-A291-01	THCA	TCGA
TCGA-FY-A2QD-01	THCA	TCGA
TCGA-CE-A483-01	THCA	TCGA
TCGA-FY-A40M-01	THCA	TCGA
TCGA-DJ-A3VM-01	THCA	TCGA
TCGA-DJ-A3VG-01	THCA	TCGA
TCGA-J8-A3O0-01	THCA	TCGA
TCGA-H2-A3RH-01	THCA	TCGA
TCGA-FY-A3ON-01	THCA	TCGA
TCGA-EM-A2OZ-01	THCA	TCGA
TCGA-E3-A3DY-01	THCA	TCGA
TCGA-EM-A2OX-01	THCA	TCGA
TCGA-ET-A39T-01	THCA	TCGA
TCGA-DJ-A3UN-01	THCA	TCGA
TCGA-DJ-A3UO-01	THCA	TCGA
TCGA-E3-A3E5-01	THCA	TCGA
TCGA-DJ-A2PV-01	THCA	TCGA
TCGA-EL-A4K0-01	THCA	TCGA
TCGA-EL-A3MX-01	THCA	TCGA
TCGA-EM-A3FK-01	THCA	TCGA
TCGA-EM-A2P0-01	THCA	TCGA
TCGA-EL-A3CZ-01	THCA	TCGA
TCGA-KS-A4I3-01	THCA	TCGA
TCGA-J8-A3O1-01	THCA	TCGA
TCGA-L6-A4EQ-01	THCA	TCGA
TCGA-DJ-A4UQ-01	THCA	TCGA
TCGA-FY-A40K-01	THCA	TCGA
TCGA-EM-A3AP-01	THCA	TCGA
TCGA-H2-A3RI-01	THCA	TCGA
TCGA-MK-A4N9-01	THCA	TCGA
TCGA-ET-A2N4-01	THCA	TCGA
TCGA-DJ-A13V-01	THCA	TCGA
TCGA-EM-A2OY-01	THCA	TCGA
TCGA-ET-A2N5-01	THCA	TCGA
TCGA-EM-A4FH-01	THCA	TCGA
TCGA-ET-A3DS-01	THCA	TCGA
TCGA-FK-A3SB-01	THCA	TCGA
TCGA-ET-A3DV-01	THCA	TCGA
TCGA-DJ-A13T-01	THCA	TCGA
TCGA-DJ-A3UR-01	THCA	TCGA
TCGA-EM-A3O6-01	THCA	TCGA
TCGA-DJ-A3VE-01	THCA	TCGA
TCGA-EL-A3GS-01	THCA	TCGA
TCGA-ET-A4KQ-01	THCA	TCGA
TCGA-DJ-A2QB-01	THCA	TCGA
TCGA-EM-A1CV-01	THCA	TCGA
TCGA-BJ-A2N8-01	THCA	TCGA
TCGA-DJ-A3UK-01	THCA	TCGA
TCGA-EM-A3OA-01	THCA	TCGA
TCGA-ET-A2N3-01	THCA	TCGA
TCGA-EL-A3D5-01	THCA	TCGA
TCGA-EM-A2CJ-01	THCA	TCGA
TCGA-L6-A4ET-01	THCA	TCGA
TCGA-EL-A3CP-01	THCA	TCGA
TCGA-EL-A3CL-01	THCA	TCGA
TCGA-ET-A39I-01	THCA	TCGA
TCGA-DJ-A1QI-01	THCA	TCGA
TCGA-EM-A22L-01	THCA	TCGA
TCGA-DJ-A3VK-01	THCA	TCGA
TCGA-EM-A2CS-01	THCA	TCGA
TCGA-BJ-A28S-01	THCA	TCGA
TCGA-EM-A22J-01	THCA	TCGA
TCGA-EM-A1CS-01	THCA	TCGA
TCGA-BJ-A191-01	THCA	TCGA
TCGA-EL-A3ZH-01	THCA	TCGA
TCGA-MK-A4N7-01	THCA	TCGA
TCGA-DJ-A2PS-01	THCA	TCGA
TCGA-KS-A4IB-01	THCA	TCGA
TCGA-ET-A25O-01	THCA	TCGA
TCGA-J8-A3O2-01	THCA	TCGA
TCGA-FY-A3RA-01	THCA	TCGA
TCGA-FY-A3NN-01	THCA	TCGA
TCGA-DJ-A2PQ-01	THCA	TCGA
TCGA-BJ-A0ZE-01	THCA	TCGA
TCGA-EL-A3H8-01	THCA	TCGA
TCGA-EM-A2CK-01	THCA	TCGA
TCGA-DE-A4MD-01	THCA	TCGA
TCGA-E3-A3DZ-01	THCA	TCGA
TCGA-DE-A2OL-01	THCA	TCGA
TCGA-BJ-A0Z2-01	THCA	TCGA
TCGA-FY-A3NP-01	THCA	TCGA
TCGA-J8-A3YH-01	THCA	TCGA
TCGA-EM-A3O7-01	THCA	TCGA
TCGA-DJ-A3UP-01	THCA	TCGA
TCGA-EM-A3SX-01	THCA	TCGA
TCGA-EL-A3H2-01	THCA	TCGA
TCGA-BJ-A28V-01	THCA	TCGA
TCGA-FY-A40N-01	THCA	TCGA
TCGA-EM-A3O8-01	THCA	TCGA
TCGA-BJ-A0ZC-01	THCA	TCGA
TCGA-BJ-A4O9-01	THCA	TCGA
TCGA-DJ-A3VA-01	THCA	TCGA
TCGA-J8-A3YE-01	THCA	TCGA
TCGA-ET-A3BW-01	THCA	TCGA
TCGA-BJ-A0Z0-01	THCA	TCGA
TCGA-EL-A3ZR-01	THCA	TCGA
TCGA-EM-A3OB-01	THCA	TCGA
