sample	condition	source
GTEX-X8HC-0726-SM-46MWG	Normal	GTEx
GTEX-11ZTS-1126-SM-5LU9X	Normal	GTEx
GTEX-YF7O-0726-SM-4W213	Normal	GTEx
GTEX-13X6H-0526-SM-5LU4Q	Normal	GTEx
GTEX-132QS-0326-SM-5IJFN	Normal	GTEx
GTEX-X15G-0526-SM-3NMB7	Normal	GTEx
GTEX-111YS-0726-SM-5GZY8	Normal	GTEx
GTEX-ZAK1-0726-SM-5HL8Q	Normal	GTEx
GTEX-WYJK-1626-SM-3NM9J	Normal	GTEx
GTEX-U8T8-2326-SM-3DB96	Normal	GTEx
GTEX-12BJ1-0426-SM-5FQSO	Normal	GTEx
GTEX-13NYC-2426-SM-5MR3K	Normal	GTEx
GTEX-ZPU1-0426-SM-4WWCA	Normal	GTEx
GTEX-Y8E4-0126-SM-4VBQ2	Normal	GTEx
GTEX-11EQ9-0626-SM-5A5K1	Normal	GTEx
GTEX-ZAB5-0726-SM-5P9JG	Normal	GTEx
GTEX-S32W-0726-SM-2XCBL	Normal	GTEx
GTEX-SE5C-0726-SM-4BRWY	Normal	GTEx
GTEX-ZPCL-0126-SM-4WWC8	Normal	GTEx
GTEX-ZVT3-0726-SM-5GICN	Normal	GTEx
GTEX-X4XY-0826-SM-4E3JM	Normal	GTEx
GTEX-ZYFG-0626-SM-5GZYA	Normal	GTEx
GTEX-13OW7-0826-SM-5L3EL	Normal	GTEx
GTEX-RVPV-1226-SM-2TF73	Normal	GTEx
GTEX-ZV7C-0126-SM-57WDE	Normal	GTEx
GTEX-WFG7-0326-SM-5SI7L	Normal	GTEx
GTEX-13N1W-0826-SM-5MR5J	Normal	GTEx
GTEX-R55G-0726-SM-2TC6J	Normal	GTEx
GTEX-WYVS-0326-SM-3NM9V	Normal	GTEx
GTEX-1211K-0726-SM-5FQUW	Normal	GTEx
GTEX-XUW1-1026-SM-4BONY	Normal	GTEx
GTEX-WHSB-1626-SM-3LK6J	Normal	GTEx
