variant	method	collection	pathway	NES	padj	leading_edge_n	composition_overlap_n	composition_overlap
tcga_matched	voom_qw	Hallmark	HALLMARK_XENOBIOTIC_METABOLISM	1.08714386643141	0.270157147749325	56	0	
tcga_matched	voom_qw	KEGG	KEGG_ABC_TRANSPORTERS	-1.01139186954513	0.591188498830944	10	0	
tcga_matched	voom_qw	KEGG	KEGG_ACUTE_MYELOID_LEUKEMIA	1.33572225181867	0.134498417503784	17	0	
tcga_matched	voom_qw	KEGG	KEGG_ADHERENS_JUNCTION	1.70655285192672	0.00452139605148359	20	0	
tcga_matched	voom_qw	KEGG	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	-1.43385819398432	0.0866538213215871	27	0	
tcga_matched	voom_qw	KEGG	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	-0.764061700524168	0.872580827097959	8	0	
tcga_matched	voom_qw	KEGG	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	-1.18144912063832	0.355893958816176	11	0	
tcga_matched	voom_qw	KEGG	KEGG_ALLOGRAFT_REJECTION	2.27552419185471	0.000187853586480088	21	0	
tcga_matched	voom_qw	KEGG	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.847470413767853	0.792970104646806	15	0	
tcga_matched	voom_qw	KEGG	KEGG_ALZHEIMERS_DISEASE	1.35242892819927	0.0423919176434267	36	0	
tcga_matched	voom_qw	KEGG	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.829681701401742	0.832686507625833	5	0	
tcga_matched	voom_qw	KEGG	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.70303151836178	0.934747788809196	7	0	
tcga_matched	voom_qw	KEGG	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1.72071059209635	0.0105720110292696	12	0	
tcga_matched	voom_qw	KEGG	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1.4867997840731	0.0457959208861736	33	0	
tcga_matched	voom_qw	KEGG	KEGG_APOPTOSIS	2.11568937909073	2.02216518954499e-05	21	0	
tcga_matched	voom_qw	KEGG	KEGG_ARACHIDONIC_ACID_METABOLISM	1.11054123609895	0.398596455656278	17	0	
tcga_matched	voom_qw	KEGG	KEGG_ARGININE_AND_PROLINE_METABOLISM	-1.09770564945299	0.456781707611583	13	0	
tcga_matched	voom_qw	KEGG	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1.36875532473903	0.0959703075291623	26	0	
tcga_matched	voom_qw	KEGG	KEGG_ASTHMA	1.74555829481802	0.0383809293678464	14	1	FCER1G
