sample	subtype	cell_type	gene	mean_expr	pct_positive	n_cells
GSM7324277_AT20.count.tsv.gz	ATC	T_NK	ITGA2	0.062	4.2	1160
GSM7324277_AT20.count.tsv.gz	ATC	T_NK	ITGB1	0.833	49.9	1160
GSM7324277_AT20.count.tsv.gz	ATC	T_NK	FN1	8.288	96.4	1160
GSM7324277_AT20.count.tsv.gz	ATC	T_NK	CCND1	0.334	24.3	1160
GSM7324277_AT20.count.tsv.gz	ATC	B_cell	ITGA2	0.065	3.2	31
GSM7324277_AT20.count.tsv.gz	ATC	B_cell	ITGB1	0.258	22.6	31
GSM7324277_AT20.count.tsv.gz	ATC	B_cell	FN1	4.613	96.8	31
GSM7324277_AT20.count.tsv.gz	ATC	B_cell	CCND1	0.161	16.1	31
GSM7324277_AT20.count.tsv.gz	ATC	Myeloid	ITGA2	0.04	3.1	1660
GSM7324277_AT20.count.tsv.gz	ATC	Myeloid	ITGB1	1.266	62.8	1660
GSM7324277_AT20.count.tsv.gz	ATC	Myeloid	FN1	11.11	97.5	1660
GSM7324277_AT20.count.tsv.gz	ATC	Myeloid	CCND1	0.906	46.3	1660
GSM7324277_AT20.count.tsv.gz	ATC	SMC_pericyte	ITGA2	0.039	2.9	102
GSM7324277_AT20.count.tsv.gz	ATC	SMC_pericyte	ITGB1	4.902	92.2	102
GSM7324277_AT20.count.tsv.gz	ATC	SMC_pericyte	FN1	16.363	100.0	102
GSM7324277_AT20.count.tsv.gz	ATC	SMC_pericyte	CCND1	1.539	53.9	102
GSM7324277_AT20.count.tsv.gz	ATC	Mast	ITGA2	0	0.0	8
GSM7324277_AT20.count.tsv.gz	ATC	Mast	ITGB1	0.75	50.0	8
GSM7324277_AT20.count.tsv.gz	ATC	Mast	FN1	3.75	100.0	8
GSM7324277_AT20.count.tsv.gz	ATC	Mast	CCND1	0.25	25.0	8
